date,week,team,opp
2021-09-09,1,TAM,DAL
2021-09-09,1,DAL,TAM
2021-09-12,1,CHI,LAR
2021-09-12,1,NYG,DEN
2021-09-12,1,CLE,KAN
2021-09-12,1,WAS,LAC
2021-09-12,1,JAX,HOU
2021-09-12,1,DET,SFO
2021-09-12,1,TEN,ARI
2021-09-12,1,IND,SEA
2021-09-12,1,MIN,CIN
2021-09-12,1,NYJ,CAR
2021-09-12,1,BUF,PIT
2021-09-12,1,ATL,PHI
2021-09-12,1,NWE,MIA
2021-09-12,1,GNB,NOR
2021-09-12,1,LAR,CHI
2021-09-12,1,PHI,ATL
2021-09-12,1,PIT,BUF
2021-09-12,1,CAR,NYJ
2021-09-12,1,CIN,MIN
2021-09-12,1,SEA,IND
2021-09-12,1,SFO,DET
2021-09-12,1,ARI,TEN
2021-09-12,1,LAC,WAS
2021-09-12,1,KAN,CLE
2021-09-12,1,DEN,NYG
2021-09-12,1,NOR,GNB
2021-09-12,1,MIA,NWE
2021-09-12,1,HOU,JAX
2021-09-13,1,LVR,BAL
2021-09-13,1,BAL,LVR
2021-09-16,2,NYG,WAS
2021-09-16,2,WAS,NYG
2021-09-19,2,JAX,DEN
2021-09-19,2,NOR,CAR
2021-09-19,2,CIN,CHI
2021-09-19,2,HOU,CLE
2021-09-19,2,IND,LAR
2021-09-19,2,NYJ,NWE
2021-09-19,2,PHI,SFO
2021-09-19,2,PIT,LVR
2021-09-19,2,ATL,TAM
2021-09-19,2,MIN,ARI
2021-09-19,2,LAC,DAL
2021-09-19,2,MIA,BUF
2021-09-19,2,KAN,BAL
2021-09-19,2,SEA,TEN
2021-09-19,2,DEN,JAX
2021-09-19,2,TEN,SEA
2021-09-19,2,DAL,LAC
2021-09-19,2,ARI,MIN
2021-09-19,2,TAM,ATL
2021-09-19,2,LVR,PIT
2021-09-19,2,SFO,PHI
2021-09-19,2,NWE,NYJ
2021-09-19,2,LAR,IND
2021-09-19,2,CLE,HOU
2021-09-19,2,CHI,CIN
2021-09-19,2,CAR,NOR
2021-09-19,2,BUF,MIA
2021-09-19,2,BAL,KAN
2021-09-20,2,DET,GNB
2021-09-20,2,GNB,DET
2021-09-23,3,CAR,HOU
2021-09-23,3,HOU,CAR
2021-09-26,3,LAR,TAM
2021-09-26,3,MIN,SEA
2021-09-26,3,LVR,MIA
2021-09-26,3,DEN,NYJ
2021-09-26,3,NOR,NWE
2021-09-26,3,BAL,DET
2021-09-26,3,ARI,JAX
2021-09-26,3,TEN,IND
2021-09-26,3,CIN,PIT
2021-09-26,3,CLE,CHI
2021-09-26,3,BUF,WAS
2021-09-26,3,ATL,NYG
2021-09-26,3,LAC,KAN
2021-09-26,3,GNB,SFO
2021-09-26,3,SEA,MIN
2021-09-26,3,NYG,ATL
2021-09-26,3,WAS,BUF
2021-09-26,3,CHI,CLE
2021-09-26,3,PIT,CIN
2021-09-26,3,IND,TEN
2021-09-26,3,JAX,ARI
2021-09-26,3,DET,BAL
2021-09-26,3,KAN,LAC
2021-09-26,3,NWE,NOR
2021-09-26,3,NYJ,DEN
2021-09-26,3,SFO,GNB
2021-09-26,3,TAM,LAR
2021-09-26,3,MIA,LVR
2021-09-27,3,PHI,DAL
2021-09-27,3,DAL,PHI
2021-09-30,4,JAX,CIN
2021-09-30,4,CIN,JAX
2021-10-03,4,PIT,GNB
2021-10-03,4,LAR,ARI
2021-10-03,4,NWE,TAM
2021-10-03,4,TEN,NYJ
2021-10-03,4,NOR,NYG
2021-10-03,4,PHI,KAN
2021-10-03,4,MIA,IND
2021-10-03,4,MIN,CLE
2021-10-03,4,DET,CHI
2021-10-03,4,CAR,DAL
2021-10-03,4,HOU,BUF
2021-10-03,4,ATL,WAS
2021-10-03,4,DEN,BAL
2021-10-03,4,TAM,NWE
2021-10-03,4,SFO,SEA
2021-10-03,4,IND,MIA
2021-10-03,4,BAL,DEN
2021-10-03,4,WAS,ATL
2021-10-03,4,BUF,HOU
2021-10-03,4,SEA,SFO
2021-10-03,4,ARI,LAR
2021-10-03,4,NYJ,TEN
2021-10-03,4,NYG,NOR
2021-10-03,4,KAN,PHI
2021-10-03,4,GNB,PIT
2021-10-03,4,CLE,MIN
2021-10-03,4,CHI,DET
2021-10-03,4,DAL,CAR
2021-10-04,4,LVR,LAC
2021-10-04,4,LAC,LVR
2021-10-07,5,SEA,LAR
2021-10-07,5,LAR,SEA
2021-10-10,5,PHI,CAR
2021-10-10,5,ATL,NYJ
2021-10-10,5,BUF,KAN
2021-10-10,5,NYJ,ATL
2021-10-10,5,NOR,WAS
2021-10-10,5,TAM,MIA
2021-10-10,5,TEN,JAX
2021-10-10,5,NWE,HOU
2021-10-10,5,MIN,DET
2021-10-10,5,PIT,DEN
2021-10-10,5,GNB,CIN
2021-10-10,5,ARI,SFO
2021-10-10,5,DAL,NYG
2021-10-10,5,KAN,BUF
2021-10-10,5,CHI,LVR
2021-10-10,5,NYG,DAL
2021-10-10,5,CLE,LAC
2021-10-10,5,LVR,CHI
2021-10-10,5,WAS,NOR
2021-10-10,5,MIA,TAM
2021-10-10,5,JAX,TEN
2021-10-10,5,HOU,NWE
2021-10-10,5,DET,MIN
2021-10-10,5,DEN,PIT
2021-10-10,5,CIN,GNB
2021-10-10,5,CAR,PHI
2021-10-10,5,SFO,ARI
2021-10-10,5,LAC,CLE
2021-10-11,5,IND,BAL
2021-10-11,5,BAL,IND
2021-10-14,6,PHI,TAM
2021-10-14,6,TAM,PHI
2021-10-17,6,DEN,LVR
2021-10-17,6,CAR,MIN
2021-10-17,6,JAX,MIA
2021-10-17,6,MIN,CAR
2021-10-17,6,GNB,CHI
2021-10-17,6,CIN,DET
2021-10-17,6,IND,HOU
2021-10-17,6,KAN,WAS
2021-10-17,6,LAR,NYG
2021-10-17,6,BAL,LAC
2021-10-17,6,ARI,CLE
2021-10-17,6,DAL,NWE
2021-10-17,6,MIA,JAX
2021-10-17,6,PIT,SEA
2021-10-17,6,LVR,DEN
2021-10-17,6,WAS,KAN
2021-10-17,6,CHI,GNB
2021-10-17,6,SEA,PIT
2021-10-17,6,DET,CIN
2021-10-17,6,NWE,DAL
2021-10-17,6,CLE,ARI
2021-10-17,6,LAC,BAL
2021-10-17,6,NYG,LAR
2021-10-17,6,HOU,IND
2021-10-18,6,TEN,BUF
2021-10-18,6,BUF,TEN
2021-10-21,7,CLE,DEN
2021-10-21,7,DEN,CLE
2021-10-24,7,HOU,ARI
2021-10-24,7,WAS,GNB
2021-10-24,7,KAN,TEN
2021-10-24,7,NYJ,NWE
2021-10-24,7,DET,LAR
2021-10-24,7,PHI,LVR
2021-10-24,7,CHI,TAM
2021-10-24,7,MIA,ATL
2021-10-24,7,SFO,IND
2021-10-24,7,BAL,CIN
2021-10-24,7,NWE,NYJ
2021-10-24,7,ATL,MIA
2021-10-24,7,NYG,CAR
2021-10-24,7,CIN,BAL
2021-10-24,7,GNB,WAS
2021-10-24,7,TEN,KAN
2021-10-24,7,LAR,DET
2021-10-24,7,LVR,PHI
2021-10-24,7,TAM,CHI
2021-10-24,7,ARI,HOU
2021-10-24,7,IND,SFO
2021-10-24,7,CAR,NYG
2021-10-25,7,SEA,NOR
2021-10-25,7,NOR,SEA
2021-10-28,8,ARI,GNB
2021-10-28,8,GNB,ARI
2021-10-31,8,NOR,TAM
2021-10-31,8,HOU,LAR
2021-10-31,8,JAX,SEA
2021-10-31,8,LAC,NWE
2021-10-31,8,TAM,NOR
2021-10-31,8,WAS,DEN
2021-10-31,8,MIN,DAL
2021-10-31,8,CLE,PIT
2021-10-31,8,CIN,NYJ
2021-10-31,8,CHI,SFO
2021-10-31,8,MIA,BUF
2021-10-31,8,ATL,CAR
2021-10-31,8,DEN,WAS
2021-10-31,8,IND,TEN
2021-10-31,8,BUF,MIA
2021-10-31,8,NWE,LAC
2021-10-31,8,SEA,JAX
2021-10-31,8,LAR,HOU
2021-10-31,8,PHI,DET
2021-10-31,8,TEN,IND
2021-10-31,8,DET,PHI
2021-10-31,8,PIT,CLE
2021-10-31,8,NYJ,CIN
2021-10-31,8,SFO,CHI
2021-10-31,8,CAR,ATL
2021-10-31,8,DAL,MIN
2021-11-01,8,NYG,KAN
2021-11-01,8,KAN,NYG
2021-11-04,9,NYJ,IND
2021-11-04,9,IND,NYJ
2021-11-07,9,MIA,HOU
2021-11-07,9,NYG,LVR
2021-11-07,9,LAC,PHI
2021-11-07,9,ARI,SFO
2021-11-07,9,NWE,CAR
2021-11-07,9,TEN,LAR
2021-11-07,9,DEN,DAL
2021-11-07,9,JAX,BUF
2021-11-07,9,ATL,NOR
2021-11-07,9,CLE,CIN
2021-11-07,9,KAN,GNB
2021-11-07,9,BAL,MIN
2021-11-07,9,BUF,JAX
2021-11-07,9,DAL,DEN
2021-11-07,9,MIN,BAL
2021-11-07,9,CAR,NWE
2021-11-07,9,CIN,CLE
2021-11-07,9,HOU,MIA
2021-11-07,9,LVR,NYG
2021-11-07,9,PHI,LAC
2021-11-07,9,SFO,ARI
2021-11-07,9,GNB,KAN
2021-11-07,9,LAR,TEN
2021-11-07,9,NOR,ATL
2021-11-08,9,PIT,CHI
2021-11-08,9,CHI,PIT
2021-11-11,10,MIA,BAL
2021-11-11,10,BAL,MIA
2021-11-14,10,GNB,SEA
2021-11-14,10,PHI,DEN
2021-11-14,10,CAR,ARI
2021-11-14,10,MIN,LAC
2021-11-14,10,IND,JAX
2021-11-14,10,NWE,CLE
2021-11-14,10,WAS,TAM
2021-11-14,10,TEN,NOR
2021-11-14,10,PIT,DET
2021-11-14,10,BUF,NYJ
2021-11-14,10,DAL,ATL
2021-11-14,10,KAN,LVR
2021-11-14,10,LVR,KAN
2021-11-14,10,TAM,WAS
2021-11-14,10,ATL,DAL
2021-11-14,10,NYJ,BUF
2021-11-14,10,DET,PIT
2021-11-14,10,NOR,TEN
2021-11-14,10,CLE,NWE
2021-11-14,10,LAC,MIN
2021-11-14,10,JAX,IND
2021-11-14,10,DEN,PHI
2021-11-14,10,SEA,GNB
2021-11-14,10,ARI,CAR
2021-11-15,10,SFO,LAR
2021-11-15,10,LAR,SFO
2021-11-18,11,ATL,NWE
2021-11-18,11,NWE,ATL
2021-11-21,11,IND,BUF
2021-11-21,11,BAL,CHI
2021-11-21,11,SEA,ARI
2021-11-21,11,HOU,TEN
2021-11-21,11,DAL,KAN
2021-11-21,11,SFO,JAX
2021-11-21,11,LVR,CIN
2021-11-21,11,WAS,CAR
2021-11-21,11,BUF,IND
2021-11-21,11,CHI,BAL
2021-11-21,11,TEN,HOU
2021-11-21,11,JAX,SFO
2021-11-21,11,NOR,PHI
2021-11-21,11,CAR,WAS
2021-11-21,11,DET,CLE
2021-11-21,11,GNB,MIN
2021-11-21,11,NYJ,MIA
2021-11-21,11,PHI,NOR
2021-11-21,11,PIT,LAC
2021-11-21,11,LAC,PIT
2021-11-21,11,ARI,SEA
2021-11-21,11,KAN,DAL
2021-11-21,11,CIN,LVR
2021-11-21,11,MIA,NYJ
2021-11-21,11,MIN,GNB
2021-11-21,11,CLE,DET
2021-11-22,11,TAM,NYG
2021-11-22,11,NYG,TAM
2021-11-25,12,DAL,LVR
2021-11-25,12,NOR,BUF
2021-11-25,12,CHI,DET
2021-11-25,12,LVR,DAL
2021-11-25,12,BUF,NOR
2021-11-25,12,DET,CHI
2021-11-28,12,PIT,CIN
