week,opp,passing_rank,receiving_rank,rushing_rank
1,ARI,8.0,7.0,13.0
1,ATL,20.0,11.0,30.0
1,BAL,1.0,32.0,15.0
1,BUF,5.0,4.0,6.0
1,CAR,14.0,10.0,1.0
1,CHI,26.0,22.0,12.0
1,CIN,30.0,27.0,9.0
1,CLE,28.0,29.0,10.0
1,DAL,31.0,30.0,4.0
1,DEN,11.0,12.0,7.0
1,DET,24.0,24.0,25.0
1,GNB,9.0,8.0,28.0
1,HOU,27.0,26.0,8.0
1,IND,22.0,20.0,23.0
1,JAX,21.0,21.0,3.0
1,KAN,19.0,19.0,31.0
1,LAC,2.0,1.0,20.0
1,LAR,6.0,5.0,27.0
1,LVR,10.0,9.0,32.0
1,MIA,16.0,17.0,19.0
1,MIN,17.0,16.0,26.0
1,NOR,4.0,3.0,2.0
1,NWE,7.0,6.0,11.0
1,NYG,18.0,18.0,29.0
1,NYJ,15.0,15.0,21.0
1,PHI,3.0,2.0,18.0
1,PIT,12.0,14.0,17.0
1,SEA,13.0,13.0,16.0
1,SFO,29.0,28.0,22.0
1,TAM,32.0,31.0,5.0
1,TEN,25.0,25.0,24.0
1,WAS,23.0,23.0,14.0
2,ARI,13.0,13.0,20.0
2,ATL,27.0,23.0,18.0
2,BAL,5.0,32.0,12.0
2,BUF,3.0,2.0,3.5
2,CAR,6.0,4.0,1.0
2,CHI,20.0,18.0,10.0
2,CIN,14.0,11.0,13.0
2,CLE,24.0,17.0,5.0
2,DAL,32.0,31.0,6.0
2,DEN,7.0,6.0,8.0
2,DET,26.0,25.0,23.0
2,GNB,12.0,12.0,21.0
2,HOU,19.0,19.0,24.0
2,IND,23.0,22.0,15.0
2,JAX,28.0,26.0,3.5
2,KAN,17.0,16.0,32.0
2,LAC,4.0,3.0,30.0
2,LAR,10.0,9.0,22.0
2,LVR,16.0,14.0,19.0
2,MIA,11.0,10.0,29.0
2,MIN,30.0,29.0,26.0
2,NOR,15.0,8.0,7.0
2,NWE,8.0,5.0,11.0
2,NYG,25.0,24.0,25.0
2,NYJ,9.0,7.0,16.5
2,PHI,2.0,1.0,14.0
2,PIT,1.0,27.0,9.0
2,SEA,22.0,21.0,31.0
2,SFO,18.0,15.0,28.0
2,TAM,31.0,30.0,2.0
2,TEN,29.0,28.0,16.5
2,WAS,21.0,20.0,27.0
3,ARI,13.0,10.0,27.0
3,ATL,25.0,20.0,18.0
3,BAL,6.0,28.0,11.0
3,BUF,7.0,4.0,7.0
3,CAR,4.0,1.0,1.0
3,CHI,18.0,12.0,17.0
3,CIN,16.0,14.0,8.0
3,CLE,11.0,5.0,3.0
3,DAL,31.0,32.0,5.0
3,DEN,3.0,3.0,2.0
3,DET,27.0,25.0,19.0
3,GNB,15.0,13.0,15.0
3,HOU,19.0,16.0,25.0
3,IND,20.0,18.0,23.0
3,JAX,26.0,26.0,10.0
3,KAN,21.0,19.0,32.0
3,LAC,10.0,8.0,31.0
3,LAR,22.0,23.0,13.0
3,LVR,12.0,9.0,26.0
3,MIA,1.0,21.0,29.0
3,MIN,30.0,30.0,20.0
3,NOR,14.0,11.0,4.0
3,NWE,5.0,2.0,12.0
3,NYG,24.0,24.0,14.0
3,NYJ,9.0,7.0,22.0
3,PHI,8.0,6.0,28.0
3,PIT,2.0,17.0,9.0
3,SEA,28.0,27.0,30.0
3,SFO,17.0,15.0,21.0
3,TAM,32.0,31.0,6.0
3,TEN,23.0,22.0,16.0
3,WAS,29.0,29.0,24.0
4,ARI,15.0,12.0,21.0
4,ATL,26.0,26.0,18.0
4,BAL,4.0,23.0,11.0
4,BUF,2.0,1.0,3.0
4,CAR,7.0,2.0,7.0
4,CHI,22.0,14.0,15.0
4,CIN,12.0,8.0,12.0
4,CLE,9.0,4.0,2.0
4,DAL,31.0,30.0,6.0
4,DEN,8.0,5.0,4.0
4,DET,18.0,19.0,29.0
4,GNB,16.0,13.0,13.0
4,HOU,19.0,16.0,31.0
4,IND,17.0,15.0,14.0
4,JAX,28.0,28.0,8.0
4,KAN,27.0,27.0,32.0
4,LAC,1.0,6.0,22.0
4,LAR,23.0,24.0,23.0
4,LVR,11.0,10.0,28.0
4,MIA,3.0,20.0,27.0
4,MIN,21.0,17.0,24.0
