name,team,position,season_year
Jonathan Taylor,IND,RB,2021
Cooper Kupp,LAR,WR,2021
Deebo Samuel,SFO,WR,2021
Josh Allen,BUF,QB,2021
Austin Ekeler,LAC,RB,2021
Justin Herbert,LAC,QB,2021
Tom Brady,TAM,QB,2021
Mark Andrews,BAL,TE,2021
Ja'Marr Chase,CIN,WR,2021
Justin Jefferson,MIN,WR,2021
Joe Mixon,CIN,RB,2021
Davante Adams,GNB,WR,2021
Patrick Mahomes,KAN,QB,2021
Najee Harris,PIT,RB,2021
Travis Kelce,KAN,TE,2021
James Conner,ARI,RB,2021
Mike Evans,TAM,WR,2021
Aaron Rodgers,GNB,QB,2021
Tyreek Hill,KAN,WR,2021
Matthew Stafford,LAR,QB,2021
Stefon Diggs,BUF,WR,2021
Ezekiel Elliott,DAL,RB,2021
Dak Prescott,DAL,QB,2021
Nick Chubb,CLE,RB,2021
Mike Williams,LAC,WR,2021
D.K. Metcalf,SEA,WR,2021
Tyler Lockett,SEA,WR,2021
Damien Harris,NWE,RB,2021
Joe Burrow,CIN,QB,2021
Diontae Johnson,PIT,WR,2021
Jalen Hurts,PHI,QB,2021
Alvin Kamara,NOR,RB,2021
Antonio Gibson,WAS,RB,2021
Leonard Fournette,TAM,RB,2021
Dalton Schultz,DAL,TE,2021
Cordarrelle Patterson,ATL,RB,2021
George Kittle,SFO,TE,2021
Hunter Renfrow,LVR,WR,2021
CeeDee Lamb,DAL,WR,2021
Kyler Murray,ARI,QB,2021
Kirk Cousins,MIN,QB,2021
Aaron Jones,GNB,RB,2021
Keenan Allen,LAC,WR,2021
Derrick Henry,TEN,RB,2021
Michael Pittman Jr.,IND,WR,2021
Dalvin Cook,MIN,RB,2021
Josh Jacobs,LVR,RB,2021
Rob Gronkowski,TAM,TE,2021
Tee Higgins,CIN,WR,2021
Dawson Knox,BUF,TE,2021
D.J. Moore,CAR,WR,2021
Chris Godwin,TAM,WR,2021
Hunter Henry,NWE,TE,2021
Melvin Gordon,DEN,RB,2021
Jaylen Waddle,MIA,WR,2021
Brandin Cooks,HOU,WR,2021
Dallas Goedert,PHI,TE,2021
Darnell Mooney,CHI,WR,2021
Kyle Pitts,ATL,TE,2021
Javonte Williams,DEN,RB,2021
Amon-Ra St. Brown,DET,WR,2021
Terry McLaurin,WAS,WR,2021
Marquise Brown,BAL,WR,2021
Amari Cooper,DAL,WR,2021
Devin Singletary,BUF,RB,2021
Adam Thielen,MIN,WR,2021
Christian Kirk,ARI,WR,2021
David Montgomery,CHI,RB,2021
AJ Dillon,GNB,RB,2021
Kendrick Bourne,NWE,WR,2021
Darrel Williams,KAN,RB,2021
D'Andre Swift,DET,RB,2021
Mike Gesicki,MIA,TE,2021
Elijah Mitchell,SFO,RB,2021
Ryan Tannehill,TEN,QB,2021
Carson Wentz,IND,QB,2021
Derek Carr,LVR,QB,2021
Russell Wilson,SEA,QB,2021
Lamar Jackson,BAL,QB,2021
Jimmy Garoppolo,SFO,QB,2021
Mac Jones,NWE,QB,2021
Matt Ryan,ATL,QB,2021
Taylor Heinicke,WAS,QB,2021
Ben Roethlisberger,PIT,QB,2021
Teddy Bridgewater,DEN,QB,2021
Trevor Lawrence,JAX,QB,2021
Jared Goff,DET,QB,2021
Baker Mayfield,CLE,QB,2021
Tua Tagovailoa,MIA,QB,2021
Daniel Jones,NYG,QB,2021
Sam Darnold,CAR,QB,2021
Davis Mills,HOU,QB,2021
Zach Wilson,NYJ,QB,2021
James Robinson,JAX,RB,2021
Darrell Henderson,LAR,RB,2021
Justin Fields,CHI,QB,2021
Myles Gaskin,MIA,RB,2021
Sony Michel,LAR,RB,2021
Tony Pollard,DAL,RB,2021
DeVonta Smith,PHI,WR,2021
A.J. Brown,TEN,WR,2021
Michael Carter,NYJ,RB,2021
Taysom Hill,NOR,QB,2021
Van Jefferson,LAR,WR,2021
Tyler Boyd,CIN,WR,2021
Jameis Winston,NOR,QB,2021
Rashaad Penny,SEA,RB,2021
Brandon Aiyuk,SFO,WR,2021
Devonta Freeman,BAL,RB,2021
Chuba Hubbard,CAR,RB,2021
K.J. Osborn,MIN,WR,2021
Saquon Barkley,NYG,RB,2021
Chase Claypool,PIT,WR,2021
Marvin Jones,JAX,WR,2021
Marquez Callaway,NOR,WR,2021
DeAndre Hopkins,ARI,WR,2021
Devontae Booker,NYG,RB,2021
A.J. Green,ARI,WR,2021
Allen Lazard,GNB,WR,2021
Jakobi Meyers,NWE,WR,2021
Tim Patrick,DEN,WR,2021
Cedrick Wilson Jr.,DAL,WR,2021
Rhamondre Stevenson,NWE,RB,2021
Chase Edmonds,ARI,RB,2021
Clyde Edwards-Helaire,KAN,RB,2021
Russell Gage,ATL,WR,2021
Elijah Moore,NYJ,WR,2021
Mike Davis,ATL,RB,2021
Alexander Mattison,MIN,RB,2021
Latavius Murray,BAL,RB,2021
Jamaal Williams,DET,RB,2021
Pat Freiermuth,PIT,TE,2021
Courtland Sutton,DEN,WR,2021
Robert Woods,LAR,WR,2021
Gabriel Davis,BUF,WR,2021
Noah Fant,DEN,TE,2021
Christian McCaffrey,CAR,RB,2021
Miles Sanders,PHI,RB,2021
Kenneth Gainwell,PHI,RB,2021
Emmanuel Sanders,BUF,WR,2021
Trevor Siemian,NOR,QB,2021
Kareem Hunt,CLE,RB,2021
Robby Anderson,CAR,WR,2021
Tyler Higbee,LAR,TE,2021
Cam Newton,CAR,QB,2021
Boston Scott,PHI,RB,2021
D'Onta Foreman,TEN,RB,2021
D'Ernest Johnson,CLE,RB,2021
J.D. McKissic,WAS,RB,2021
Byron Pringle,KAN,WR,2021
Jared Cook,LAC,TE,2021
Andy Dalton,CHI,QB,2021
T.J. Hockenson,DET,TE,2021
Kalif Raymond,DET,WR,2021
Brandon Bolden,NWE,RB,2021
Tyler Huntley,BAL,QB,2021
Ty Johnson,NYJ,RB,2021
Mecole Hardman,KAN,WR,2021
Zack Moss,BUF,RB,2021
Tyrod Taylor,HOU,QB,2021
Jarvis Landry,CLE,WR,2021
Antonio Brown,TAM,WR,2021
Rex Burkhead,HOU,RB,2021
C.J. Uzomah,CIN,TE,2021
Darren Waller,LVR,TE,2021
Cole Beasley,BUF,WR,2021
Tyler Conklin,MIN,TE,2021
Deonte Harris,NOR,WR,2021
Donovan Peoples-Jones,CLE,WR,2021
Braxton Berrios,NYJ,WR,2021
Bryan Edwards,LVR,WR,2021
Kenyan Drake,LVR,RB,2021
Nyheim Hines,IND,RB,2021
Quez Watkins,PHI,WR,2021
Jacoby Brissett,MIA,QB,2021
David Njoku,CLE,TE,2021
Corey Davis,NYJ,WR,2021
Gerald Everett,SEA,TE,2021
Nick Westbrook-Ikhine,TEN,WR,2021
Ronald Jones II,TAM,RB,2021
Nelson Agholor,NWE,WR,2021
Randall Cobb,GNB,WR,2021
Jalen Guyton,LAC,WR,2021
Khalil Herbert,CHI,RB,2021
Trey Lance,SFO,QB,2021
Justin Jackson,LAC,RB,2021
DeVante Parker,MIA,WR,2021
Laviska Shenault Jr.,JAX,WR,2021
DeAndre Carter,WAS,WR,2021
Freddie Swain,SEA,WR,2021
Jordan Howard,PHI,RB,2021
Cole Kmet,CHI,TE,2021
Henry Ruggs III,LVR,WR,2021
Marquez Valdes-Scantling,GNB,WR,2021
Alex Collins,SEA,RB,2021
Josh Palmer,LAC,WR,2021
Jamison Crowder,NYJ,WR,2021
Zay Jones,LVR,WR,2021
Olamide Zaccheaus,ATL,WR,2021
Rashod Bateman,BAL,WR,2021
Jauan Jennings,SFO,WR,2021
Evan Engram,NYG,TE,2021
Michael Gallup,DAL,WR,2021
Zach Pascal,IND,WR,2021
Mo Alie-Cox,IND,TE,2021
Samaje Perine,CIN,RB,2021
Tre'Quan Smith,NOR,WR,2021
Austin Hooper,CLE,TE,2021
Duke Johnson,MIA,RB,2021
Rondale Moore,ARI,WR,2021
Foster Moreau,LVR,TE,2021
Dontrell Hilliard,TEN,RB,2021
Geno Smith,SEA,QB,2021
Jamal Agnew,JAX,WR,2021
Kenny Golladay,NYG,WR,2021
Keelan Cole,NYJ,WR,2021
Nico Collins,HOU,WR,2021
T.Y. Hilton,IND,WR,2021
Drew Lock,DEN,QB,2021
Jack Doyle,IND,TE,2021
Devin Duvernay,BAL,WR,2021
Cameron Brate,TAM,TE,2021
David Johnson,HOU,RB,2021
Julio Jones,TEN,WR,2021
Allen Robinson,CHI,WR,2021
Laquon Treadwell,JAX,WR,2021
Derrick Gore,KAN,RB,2021
Jerry Jeudy,DEN,WR,2021
Mack Hollins,MIA,WR,2021
Travis Homer,SEA,RB,2021
Jeremy McNichols,TEN,RB,2021
Jaret Patterson,WAS,RB,2021
Danny Amendola,HOU,WR,2021
