team,opp,projected_off_pts,date,season_year
ATL,PHI,23,2018-09-06,2018
PHI,ATL,23,2018-09-06,2018
PIT,CLE,27,2018-09-09,2018
CLE,PIT,20,2018-09-09,2018
MIN,SFO,26,2018-09-09,2018
SFO,MIN,21,2018-09-09,2018
CIN,IND,24,2018-09-09,2018
IND,CIN,24,2018-09-09,2018
BAL,BUF,23,2018-09-09,2018
BUF,BAL,20,2018-09-09,2018
JAX,NYG,24,2018-09-09,2018
NYG,JAX,20,2018-09-09,2018
NOR,TAM,29,2018-09-09,2018
TAM,NOR,22,2018-09-09,2018
NWE,HOU,29,2018-09-09,2018
HOU,NWE,22,2018-09-09,2018
TEN,MIA,23,2018-09-09,2018
MIA,TEN,23,2018-09-09,2018
LAC,KAN,25,2018-09-09,2018
KAN,LAC,22,2018-09-09,2018
DEN,SEA,22,2018-09-09,2018
SEA,DEN,20,2018-09-09,2018
CAR,DAL,23,2018-09-09,2018
DAL,CAR,21,2018-09-09,2018
WAS,ARI,22,2018-09-09,2018
ARI,WAS,22,2018-09-09,2018
GNB,CHI,28,2018-09-09,2018
CHI,GNB,20,2018-09-09,2018
DET,NYJ,25,2018-09-10,2018
NYJ,DET,19,2018-09-10,2018
LAR,OAK,25,2018-09-10,2018
OAK,LAR,24,2018-09-10,2018
BAL,CIN,23,2018-09-13,2018
CIN,BAL,21,2018-09-13,2018
WAS,IND,26,2018-09-16,2018
IND,WAS,22,2018-09-16,2018
ATL,CAR,25,2018-09-16,2018
CAR,ATL,19,2018-09-16,2018
MIN,GNB,24,2018-09-16,2018
GNB,MIN,22,2018-09-16,2018
LAC,BUF,26,2018-09-16,2018
BUF,LAC,19,2018-09-16,2018
HOU,TEN,24,2018-09-16,2018
TEN,HOU,21,2018-09-16,2018
PIT,KAN,27,2018-09-16,2018
KAN,PIT,23,2018-09-16,2018
NYJ,MIA,24,2018-09-16,2018
MIA,NYJ,20,2018-09-16,2018
PHI,TAM,24,2018-09-16,2018
TAM,PHI,20,2018-09-16,2018
NOR,CLE,28,2018-09-16,2018
CLE,NOR,19,2018-09-16,2018
LAR,ARI,30,2018-09-16,2018
ARI,LAR,17,2018-09-16,2018
SFO,DET,26,2018-09-16,2018
DET,SFO,21,2018-09-16,2018
NWE,JAX,24,2018-09-16,2018
JAX,NWE,21,2018-09-16,2018
DEN,OAK,26,2018-09-16,2018
OAK,DEN,20,2018-09-16,2018
DAL,NYG,24,2018-09-16,2018
NYG,DAL,20,2018-09-16,2018
CHI,SEA,23,2018-09-17,2018
SEA,CHI,20,2018-09-17,2018
CLE,NYJ,22,2018-09-20,2018
NYJ,CLE,19,2018-09-20,2018
PHI,IND,27,2018-09-23,2018
IND,PHI,21,2018-09-23,2018
CAR,CIN,24,2018-09-23,2018
CIN,CAR,20,2018-09-23,2018
JAX,TEN,24,2018-09-23,2018
TEN,JAX,15,2018-09-23,2018
ATL,NOR,28,2018-09-23,2018
NOR,ATL,24,2018-09-23,2018
BAL,DEN,24,2018-09-23,2018
DEN,BAL,20,2018-09-23,2018
HOU,NYG,24,2018-09-23,2018
NYG,HOU,18,2018-09-23,2018
MIA,OAK,24,2018-09-23,2018
OAK,MIA,20,2018-09-23,2018
GNB,WAS,25,2018-09-23,2018
WAS,GNB,22,2018-09-23,2018
MIN,BUF,29,2018-09-23,2018
BUF,MIN,13,2018-09-23,2018
KAN,SFO,29,2018-09-23,2018
SFO,KAN,25,2018-09-23,2018
LAR,LAC,28,2018-09-23,2018
LAC,LAR,20,2018-09-23,2018
CHI,ARI,23,2018-09-23,2018
ARI,CHI,17,2018-09-23,2018
SEA,DAL,21,2018-09-23,2018
DAL,SEA,20,2018-09-23,2018
NWE,DET,28,2018-09-23,2018
DET,NWE,22,2018-09-23,2018
TAM,PIT,26,2018-09-24,2018
PIT,TAM,24,2018-09-24,2018
LAR,MIN,27,2018-09-27,2018
MIN,LAR,20,2018-09-27,2018
NWE,MIA,28,2018-09-30,2018
MIA,NWE,20,2018-09-30,2018
HOU,IND,25,2018-09-30,2018
IND,HOU,22,2018-09-30,2018
ATL,CIN,27,2018-09-30,2018
CIN,ATL,21,2018-09-30,2018
GNB,BUF,28,2018-09-30,2018
BUF,GNB,16,2018-09-30,2018
DAL,DET,24,2018-09-30,2018
DET,DAL,20,2018-09-30,2018
JAX,NYJ,24,2018-09-30,2018
NYJ,JAX,14,2018-09-30,2018
CHI,TAM,25,2018-09-30,2018
TAM,CHI,22,2018-09-30,2018
PHI,TEN,22,2018-09-30,2018
TEN,PHI,20,2018-09-30,2018
SEA,ARI,20,2018-09-30,2018
ARI,SEA,16,2018-09-30,2018
CLE,OAK,22,2018-09-30,2018
OAK,CLE,22,2018-09-30,2018
LAC,SFO,28,2018-09-30,2018
SFO,LAC,19,2018-09-30,2018
NOR,NYG,26,2018-09-30,2018
NYG,NOR,22,2018-09-30,2018
PIT,BAL,27,2018-09-30,2018
BAL,PIT,24,2018-09-30,2018
KAN,DEN,30,2018-10-01,2018
DEN,KAN,25,2018-10-01,2018
NWE,IND,32,2018-10-04,2018
IND,NWE,22,2018-10-04,2018
BAL,CLE,25,2018-10-07,2018
CLE,BAL,22,2018-10-07,2018
KAN,JAX,26,2018-10-07,2018
JAX,KAN,23,2018-10-07,2018
TEN,BUF,22,2018-10-07,2018
BUF,TEN,18,2018-10-07,2018
CAR,NYG,25,2018-10-07,2018
NYG,CAR,19,2018-10-07,2018
DEN,NYJ,22,2018-10-07,2018
NYJ,DEN,22,2018-10-07,2018
PIT,ATL,30,2018-10-07,2018
ATL,PIT,26,2018-10-07,2018
DET,GNB,26,2018-10-07,2018
GNB,DET,25,2018-10-07,2018
CIN,MIA,28,2018-10-07,2018
MIA,CIN,22,2018-10-07,2018
LAC,OAK,29,2018-10-07,2018
OAK,LAC,22,2018-10-07,2018
SFO,ARI,23,2018-10-07,2018
ARI,SFO,18,2018-10-07,2018
PHI,MIN,24,2018-10-07,2018
MIN,PHI,21,2018-10-07,2018
LAR,SEA,28,2018-10-07,2018
SEA,LAR,20,2018-10-07,2018
HOU,DAL,24,2018-10-07,2018
DAL,HOU,21,2018-10-07,2018
NOR,WAS,29,2018-10-08,2018
WAS,NOR,22,2018-10-08,2018
PHI,NYG,24,2018-10-11,2018
NYG,PHI,21,2018-10-11,2018
MIN,ARI,27,2018-10-14,2018
ARI,MIN,16,2018-10-14,2018
LAC,CLE,23,2018-10-14,2018
CLE,LAC,23,2018-10-14,2018
CHI,MIA,23,2018-10-14,2018
MIA,CHI,21,2018-10-14,2018
CAR,WAS,23,2018-10-14,2018
WAS,CAR,22,2018-10-14,2018
NYJ,IND,25,2018-10-14,2018
IND,NYJ,21,2018-10-14,2018
CIN,PIT,28,2018-10-14,2018
PIT,CIN,26,2018-10-14,2018
ATL,TAM,30,2018-10-14,2018
TAM,ATL,27,2018-10-14,2018
SEA,OAK,25,2018-10-14,2018
OAK,SEA,22,2018-10-14,2018
HOU,BUF,25,2018-10-14,2018
BUF,HOU,16,2018-10-14,2018
LAR,DEN,30,2018-10-14,2018
DEN,LAR,23,2018-10-14,2018
JAX,DAL,22,2018-10-14,2018
DAL,JAX,20,2018-10-14,2018
BAL,TEN,21,2018-10-14,2018
TEN,BAL,21,2018-10-14,2018
NWE,KAN,30,2018-10-14,2018
KAN,NWE,28,2018-10-14,2018
GNB,SFO,28,2018-10-15,2018
SFO,GNB,19,2018-10-15,2018
DEN,ARI,20,2018-10-18,2018
ARI,DEN,20,2018-10-18,2018
LAC,TEN,26,2018-10-21,2018
TEN,LAC,20,2018-10-21,2018
NWE,CHI,26,2018-10-21,2018
CHI,NWE,24,2018-10-21,2018
TAM,CLE,26,2018-10-21,2018
CLE,TAM,23,2018-10-21,2018
DET,MIA,25,2018-10-21,2018
MIA,DET,22,2018-10-21,2018
PHI,CAR,25,2018-10-21,2018
CAR,PHI,20,2018-10-21,2018
IND,BUF,27,2018-10-21,2018
BUF,IND,17,2018-10-21,2018
KAN,CIN,32,2018-10-21,2018
CIN,KAN,27,2018-10-21,2018
MIN,NYJ,25,2018-10-21,2018
NYJ,MIN,22,2018-10-21,2018
JAX,HOU,24,2018-10-21,2018
HOU,JAX,20,2018-10-21,2018
BAL,NOR,27,2018-10-21,2018
