week,opp,rushing_def_rank,receiving_def_rank,passing_def_rank,season_year
1,ARI,31.0,21.0,20.0,2018
1,ATL,25.0,2.0,3.0,2018
1,BAL,7.0,1.0,2.0,2018
1,BUF,28.0,23.0,22.0,2018
1,CAR,12.0,4.0,6.0,2018
1,CHI,2.0,29.0,29.0,2018
1,CIN,5.0,27.0,26.0,2018
1,CLE,29.0,26.0,25.0,2018
1,DAL,24.0,6.0,5.0,2018
1,DEN,3.0,28.0,27.0,2018
1,DET,32.0,10.0,13.0,2018
1,GNB,27.0,8.0,7.0,2018
1,HOU,16.0,24.0,23.0,2018
1,IND,14.0,18.0,18.0,2018
1,JAX,20.5,13.0,12.0,2018
1,KAN,17.0,30.0,30.0,2018
1,LAC,11.0,25.0,24.0,2018
1,LAR,10.0,20.0,1.0,2018
1,MIA,20.5,7.0,10.0,2018
1,MIN,9.0,17.0,17.0,2018
1,NOR,18.0,31.0,32.0,2018
1,NWE,30.0,3.0,8.5,2018
1,NYG,22.0,11.0,8.5,2018
1,NYJ,1.0,12.0,21.0,2018
1,OAK,23.0,16.0,16.0,2018
1,PHI,8.0,14.0,14.0,2018
1,PIT,19.0,9.0,11.0,2018
1,SEA,26.0,22.0,28.0,2018
1,SFO,13.0,19.0,19.0,2018
1,TAM,4.0,32.0,31.0,2018
1,TEN,15.0,15.0,15.0,2018
1,WAS,6.0,5.0,4.0,2018
2,ARI,30.0,26.0,22.0,2018
2,ATL,22.0,13.0,12.0,2018
2,BAL,12.0,6.0,6.0,2018
2,BUF,27.0,24.0,21.0,2018
2,CAR,29.0,9.0,7.0,2018
2,CHI,2.0,25.0,25.0,2018
2,CIN,5.0,30.0,30.0,2018
2,CLE,23.0,22.0,19.0,2018
2,DAL,9.0,8.0,5.0,2018
2,DEN,6.0,14.0,2.0,2018
2,DET,32.0,7.0,11.0,2018
2,GNB,20.0,27.0,24.0,2018
2,HOU,19.0,11.0,10.0,2018
2,IND,10.0,17.0,15.0,2018
2,JAX,18.0,12.0,9.0,2018
2,KAN,11.0,32.0,32.0,2018
2,LAC,17.0,18.0,17.0,2018
2,LAR,3.0,2.0,1.0,2018
2,MIA,7.0,5.0,14.0,2018
2,MIN,4.0,16.0,16.0,2018
2,NOR,8.0,29.0,29.0,2018
2,NWE,28.0,21.0,23.0,2018
2,NYG,26.0,1.0,4.0,2018
2,NYJ,13.0,4.0,13.0,2018
2,OAK,31.0,10.0,8.0,2018
2,PHI,1.0,28.0,28.0,2018
2,PIT,24.0,23.0,26.0,2018
2,SEA,21.0,15.0,20.0,2018
2,SFO,15.0,20.0,27.0,2018
2,TAM,14.0,31.0,31.0,2018
2,TEN,25.0,19.0,18.0,2018
2,WAS,16.0,3.0,3.0,2018
3,ARI,31.0,19.0,18.0,2018
3,ATL,28.0,27.0,26.0,2018
3,BAL,15.0,1.0,4.0,2018
3,BUF,9.0,25.0,23.0,2018
3,CAR,26.0,18.0,17.0,2018
3,CHI,1.0,20.0,19.0,2018
3,CIN,27.0,22.5,25.0,2018
3,CLE,25.0,13.0,13.0,2018
3,DAL,10.0,7.0,8.0,2018
3,DEN,6.0,15.0,6.0,2018
3,DET,32.0,2.0,5.0,2018
3,GNB,29.0,24.0,22.0,2018
3,HOU,17.0,14.0,15.0,2018
3,IND,19.0,17.0,16.0,2018
3,JAX,20.0,3.0,3.0,2018
3,KAN,22.0,32.0,32.0,2018
3,LAC,24.0,28.0,27.0,2018
3,LAR,11.0,6.0,1.0,2018
3,MIA,8.0,12.0,2.0,2018
3,MIN,13.0,9.0,11.0,2018
3,NOR,4.0,30.0,30.0,2018
3,NWE,30.0,16.0,24.0,2018
3,NYG,16.0,11.0,12.0,2018
3,NYJ,3.0,5.0,9.0,2018
3,OAK,21.0,21.0,21.0,2018
3,PHI,2.0,22.5,20.0,2018
3,PIT,14.0,29.0,29.0,2018
3,SEA,23.0,8.0,14.0,2018
3,SFO,12.0,26.0,28.0,2018
3,TAM,5.0,31.0,31.0,2018
3,TEN,18.0,10.0,10.0,2018
3,WAS,7.0,4.0,7.0,2018
4,ARI,31.0,10.0,13.0,2018
4,ATL,28.0,27.0,26.0,2018
4,BAL,5.5,4.0,7.0,2018
4,BUF,16.0,19.0,21.0,2018
4,CAR,10.0,3.0,5.0,2018
4,CHI,1.0,18.0,18.0,2018
4,CIN,25.0,28.0,28.0,2018
4,CLE,26.0,16.0,3.0,2018
4,DAL,14.0,5.0,12.0,2018
4,DEN,17.0,17.0,9.0,2018
4,DET,32.0,6.0,8.0,2018
4,GNB,20.0,11.0,14.0,2018
4,HOU,8.0,26.0,25.0,2018
4,IND,21.0,21.0,19.0,2018
4,JAX,9.0,2.0,2.0,2018
4,KAN,30.0,29.0,30.0,2018
4,LAC,19.0,25.0,24.0,2018
4,LAR,5.5,12.0,4.0,2018
4,MIA,22.0,14.0,6.0,2018
4,MIN,11.0,23.0,23.0,2018
4,NOR,4.0,31.0,29.0,2018
4,NWE,24.0,9.0,15.0,2018
4,NYG,29.0,8.0,10.0,2018
4,NYJ,7.0,13.0,17.0,2018
4,OAK,27.0,20.0,20.0,2018
4,PHI,3.0,24.0,22.0,2018
4,PIT,12.0,30.0,31.0,2018
4,SEA,23.0,7.0,11.0,2018
4,SFO,15.0,22.0,27.0,2018
4,TAM,13.0,32.0,32.0,2018
4,TEN,18.0,15.0,16.0,2018
4,WAS,2.0,1.0,1.0,2018
5,ARI,32.0,18.0,17.0,2018
5,ATL,29.0,28.0,27.0,2018
5,BAL,4.0,5.0,9.0,2018
5,BUF,15.0,13.0,15.0,2018
5,CAR,7.0,10.0,12.0,2018
5,CHI,1.0,3.0,6.0,2018
5,CIN,24.0,24.0,25.0,2018
5,CLE,25.0,19.0,1.0,2018
5,DAL,13.0,7.0,16.0,2018
5,DEN,31.0,16.0,8.0,2018
5,DET,30.0,11.0,18.0,2018
5,GNB,20.0,6.0,11.0,2018
5,HOU,9.0,21.0,22.0,2018
5,IND,22.0,22.0,26.0,2018
5,JAX,16.0,2.0,2.0,2018
5,KAN,27.0,32.0,32.0,2018
5,LAC,12.0,23.0,14.0,2018
5,LAR,17.0,12.0,4.0,2018
5,MIA,19.0,15.0,5.0,2018
5,MIN,10.5,27.0,28.0,2018
5,NOR,2.0,30.0,30.0,2018
5,NWE,18.0,17.0,19.0,2018
5,NYG,26.0,9.0,10.0,2018
5,NYJ,8.0,14.0,20.0,2018
5,OAK,23.0,25.0,24.0,2018
5,PHI,3.0,26.0,23.0,2018
5,PIT,10.5,31.0,31.0,2018
5,SEA,28.0,8.0,13.0,2018
5,SFO,14.0,20.0,21.0,2018
5,TAM,5.0,29.0,29.0,2018
5,TEN,21.0,4.0,7.0,2018
5,WAS,6.0,1.0,3.0,2018
6,ARI,31.0,15.0,18.0,2018
6,ATL,28.0,30.0,31.0,2018
6,BAL,3.0,2.0,4.0,2018
6,BUF,14.0,10.0,13.0,2018
6,CAR,8.0,8.0,10.0,2018
6,CHI,2.0,14.0,17.0,2018
6,CIN,25.0,28.0,27.0,2018
6,CLE,30.0,17.0,2.0,2018
6,DAL,12.0,6.0,12.0,2018
6,DEN,32.0,11.0,6.0,2018
6,DET,20.0,1.0,7.0,2018
6,GNB,26.0,9.0,14.0,2018
6,HOU,11.0,16.0,19.0,2018
6,IND,18.0,21.0,25.0,2018
6,JAX,24.0,3.0,1.0,2018
6,KAN,29.0,32.0,32.0,2018
6,LAC,7.0,22.0,15.0,2018
6,LAR,15.0,12.0,8.0,2018
6,MIA,22.0,18.0,11.0,2018
6,MIN,9.0,24.0,23.0,2018
6,NOR,1.0,20.0,20.0,2018
6,NWE,17.0,23.0,26.0,2018
6,NYG,27.0,13.0,16.0,2018
6,NYJ,13.0,19.0,24.0,2018
6,OAK,23.0,26.0,22.0,2018
6,PHI,6.0,25.0,21.0,2018
6,PIT,10.0,29.0,29.0,2018
6,SEA,19.0,5.0,3.0,2018
6,SFO,16.0,27.0,28.0,2018
6,TAM,4.0,31.0,30.0,2018
6,TEN,21.0,7.0,9.0,2018
6,WAS,5.0,4.0,5.0,2018
7,ARI,32.0,13.0,16.0,2018
7,ATL,25.0,32.0,32.0,2018
7,BAL,5.0,5.0,4.0,2018
7,BUF,22.0,11.0,13.0,2018
7,CAR,6.0,12.0,14.0,2018
7,CHI,2.0,14.0,18.0,2018
7,CIN,28.0,29.0,30.0,2018
7,CLE,30.0,21.0,7.0,2018
7,DAL,11.0,4.0,10.0,2018
7,DEN,31.0,9.5,5.0,2018
7,DET,24.0,6.0,9.0,2018
7,GNB,17.0,3.0,3.0,2018
7,HOU,7.0,17.0,19.0,2018
7,IND,21.0,15.0,22.0,2018
7,JAX,26.0,2.0,2.0,2018
7,KAN,27.0,31.0,31.0,2018
7,LAC,14.0,22.0,15.0,2018
7,LAR,13.0,8.0,6.0,2018
7,MIA,29.0,18.0,11.0,2018
7,MIN,9.0,23.0,24.0,2018
7,NOR,1.0,24.0,21.0,2018
7,NWE,20.0,28.0,28.0,2018
7,NYG,23.0,20.0,20.0,2018
7,NYJ,12.0,19.0,26.0,2018
7,OAK,16.0,16.0,17.0,2018
7,PHI,10.0,27.0,25.0,2018
7,PIT,3.0,25.0,23.0,2018
7,SEA,15.0,1.0,1.0,2018
7,SFO,18.0,26.0,27.0,2018
7,TAM,8.0,30.0,29.0,2018
7,TEN,19.0,9.5,12.0,2018
7,WAS,4.0,7.0,8.0,2018
8,ARI,32.0,12.0,13.0,2018
8,ATL,19.0,29.0,28.0,2018
8,BAL,12.0,5.0,6.0,2018
8,BUF,21.0,11.0,16.0,2018
8,CAR,8.0,14.0,15.0,2018
8,CHI,1.0,10.0,17.0,2018
8,CIN,27.0,32.0,32.0,2018
8,CLE,31.0,24.0,9.0,2018
8,DAL,5.0,1.0,2.0,2018
8,DEN,30.0,17.0,11.0,2018
8,DET,24.0,7.0,12.0,2018
8,GNB,20.0,6.0,8.0,2018
8,HOU,9.0,18.0,21.0,2018
8,IND,22.0,19.0,14.0,2018
8,JAX,25.0,4.0,3.0,2018
8,KAN,28.0,30.0,31.0,2018
8,LAC,7.0,13.0,5.0,2018
8,LAR,15.0,9.0,7.0,2018
8,MIA,29.0,22.0,18.0,2018
8,MIN,11.0,21.0,22.0,2018
