date,team,opp,stadium_name,is_outdoor,avg_windspeed,max_snow_depth,total_precip,avg_temp
2018-09-06,PHI,ATL,Lincoln Financial Field,1,28.1862,0.0,0.011811029999999998,84.2
2018-09-06,ATL,PHI,Lincoln Financial Field,1,28.1862,0.0,0.011811029999999998,84.2
2018-09-09,BUF,BAL,M&T Bank Stadium,1,61.2938,0.0,1.89763882,61.88
2018-09-09,IND,CIN,Lucas Oil Stadium,0,0.0,0.0,0.0,75.0
2018-09-09,CLE,PIT,FirstEnergy Stadium,1,39.1475,0.0,1.6496071899999998,59.540000000000006
2018-09-09,HOU,NWE,Gillette Stadium,1,25.278100000000002,0.0,0.0,59.72
2018-09-09,NYG,JAX,MetLife Stadium,1,20.804100000000002,0.0,0.5118113,59.0
2018-09-09,TEN,MIA,Hard Rock Stadium,1,15.2116,0.0,0.22047255999999998,81.86
2018-09-09,SFO,MIN,TCF Bank Stadium,1,32.2128,0.0,0.0,64.22
2018-09-09,NOR,TAM,Mercedes-Benz Superdome,0,0.0,0.0,0.0,75.0
2018-09-09,DAL,CAR,Bank of America Stadium,1,25.0544,0.0,0.70078778,80.24000000000001
2018-09-09,ARI,WAS,State Farm Stadium,0,0.0,0.0,0.0,75.0
2018-09-09,SEA,DEN,Empower Field at Mile High,1,29.081000000000003,0.0,0.20078750999999997,69.25999999999999
2018-09-09,CHI,GNB,Lambeau Field,1,25.0544,0.0,0.0,59.18
2018-09-09,LAC,KAN,SoFi Stadium,1,14.540500000000002,0.0,0.0,69.98
2018-09-09,PIT,CLE,FirstEnergy Stadium,1,39.1475,0.0,1.6496071899999998,59.540000000000006
2018-09-09,BAL,BUF,M&T Bank Stadium,1,61.2938,0.0,1.89763882,61.88
2018-09-09,CIN,IND,Lucas Oil Stadium,0,0.0,0.0,0.0,75.0
2018-09-09,GNB,CHI,Lambeau Field,1,25.0544,0.0,0.0,59.18
2018-09-09,DEN,SEA,Empower Field at Mile High,1,29.081000000000003,0.0,0.20078750999999997,69.25999999999999
2018-09-09,WAS,ARI,State Farm Stadium,0,0.0,0.0,0.0,75.0
2018-09-09,CAR,DAL,Bank of America Stadium,1,25.0544,0.0,0.70078778,80.24000000000001
2018-09-09,NWE,HOU,Gillette Stadium,1,25.278100000000002,0.0,0.0,59.72
2018-09-09,KAN,LAC,SoFi Stadium,1,14.540500000000002,0.0,0.0,69.98
