team,opp,projected_pts,date,season_year
KAN,HOU,32,2020-09-10,2020
HOU,KAN,22,2020-09-10,2020
NWE,MIA,25,2020-09-13,2020
MIA,NWE,18,2020-09-13,2020
BAL,CLE,28,2020-09-13,2020
CLE,BAL,20,2020-09-13,2020
BUF,NYJ,23,2020-09-13,2020
NYJ,BUF,17,2020-09-13,2020
LVR,CAR,24,2020-09-13,2020
CAR,LVR,23,2020-09-13,2020
SEA,ATL,25,2020-09-13,2020
ATL,SEA,25,2020-09-13,2020
PHI,WAS,25,2020-09-13,2020
WAS,PHI,19,2020-09-13,2020
DET,CHI,22,2020-09-13,2020
CHI,DET,21,2020-09-13,2020
IND,JAX,26,2020-09-13,2020
JAX,IND,19,2020-09-13,2020
MIN,GNB,24,2020-09-13,2020
GNB,MIN,22,2020-09-13,2020
LAC,CIN,24,2020-09-13,2020
CIN,LAC,20,2020-09-13,2020
SFO,ARI,27,2020-09-13,2020
ARI,SFO,20,2020-09-13,2020
NOR,TAM,27,2020-09-13,2020
TAM,NOR,23,2020-09-13,2020
DAL,LAR,25,2020-09-13,2020
LAR,DAL,25,2020-09-13,2020
PIT,NYG,25,2020-09-14,2020
NYG,PIT,22,2020-09-14,2020
TEN,DEN,22,2020-09-14,2020
DEN,TEN,20,2020-09-14,2020
CLE,CIN,27,2020-09-17,2020
CIN,CLE,19,2020-09-17,2020
PHI,LAR,26,2020-09-20,2020
LAR,PHI,22,2020-09-20,2020
TAM,CAR,28,2020-09-20,2020
CAR,TAM,20,2020-09-20,2020
PIT,DEN,24,2020-09-20,2020
DEN,PIT,19,2020-09-20,2020
DAL,ATL,28,2020-09-20,2020
ATL,DAL,22,2020-09-20,2020
SFO,NYJ,25,2020-09-20,2020
NYJ,SFO,19,2020-09-20,2020
BUF,MIA,23,2020-09-20,2020
MIA,BUF,20,2020-09-20,2020
IND,MIN,24,2020-09-20,2020
MIN,IND,22,2020-09-20,2020
GNB,DET,26,2020-09-20,2020
DET,GNB,20,2020-09-20,2020
CHI,NYG,24,2020-09-20,2020
NYG,CHI,19,2020-09-20,2020
TEN,JAX,8,2020-09-20,2020
JAX,TEN,4,2020-09-20,2020
ARI,WAS,26,2020-09-20,2020
WAS,ARI,20,2020-09-20,2020
BAL,HOU,30,2020-09-20,2020
HOU,BAL,24,2020-09-20,2020
KAN,LAC,28,2020-09-20,2020
LAC,KAN,22,2020-09-20,2020
SEA,NWE,24,2020-09-20,2020
NWE,SEA,20,2020-09-20,2020
NOR,LVR,28,2020-09-21,2020
LVR,NOR,23,2020-09-21,2020
JAX,MIA,23,2020-09-24,2020
MIA,JAX,21,2020-09-24,2020
NWE,LVR,26,2020-09-27,2020
LVR,NWE,22,2020-09-27,2020
BUF,LAR,24,2020-09-27,2020
LAR,BUF,21,2020-09-27,2020
PIT,HOU,25,2020-09-27,2020
HOU,PIT,20,2020-09-27,2020
SFO,NYG,24,2020-09-27,2020
NYG,SFO,18,2020-09-27,2020
TEN,MIN,23,2020-09-27,2020
MIN,TEN,22,2020-09-27,2020
CLE,WAS,25,2020-09-27,2020
WAS,CLE,21,2020-09-27,2020
PHI,CIN,26,2020-09-27,2020
CIN,PHI,20,2020-09-27,2020
ATL,CHI,26,2020-09-27,2020
CHI,ATL,22,2020-09-27,2020
IND,NYJ,26,2020-09-27,2020
NYJ,IND,19,2020-09-27,2020
LAC,CAR,25,2020-09-27,2020
CAR,LAC,19,2020-09-27,2020
ARI,DET,27,2020-09-27,2020
DET,ARI,24,2020-09-27,2020
TAM,DEN,24,2020-09-27,2020
DEN,TAM,20,2020-09-27,2020
SEA,DAL,30,2020-09-27,2020
DAL,SEA,26,2020-09-27,2020
NOR,GNB,30,2020-09-27,2020
GNB,NOR,25,2020-09-27,2020
BAL,KAN,27,2020-09-28,2020
KAN,BAL,25,2020-09-28,2020
DEN,NYJ,20,2020-10-01,2020
NYJ,DEN,20,2020-10-01,2020
IND,CHI,23,2020-10-04,2020
CHI,IND,22,2020-10-04,2020
NOR,DET,31,2020-10-04,2020
DET,NOR,25,2020-10-04,2020
ARI,CAR,28,2020-10-04,2020
CAR,ARI,24,2020-10-04,2020
CIN,JAX,26,2020-10-04,2020
JAX,CIN,22,2020-10-04,2020
DAL,CLE,30,2020-10-04,2020
CLE,DAL,24,2020-10-04,2020
HOU,MIN,26,2020-10-04,2020
MIN,HOU,23,2020-10-04,2020
SEA,MIA,30,2020-10-04,2020
MIA,SEA,24,2020-10-04,2020
TAM,LAC,25,2020-10-04,2020
LAC,TAM,20,2020-10-04,2020
BAL,WAS,30,2020-10-04,2020
WAS,BAL,17,2020-10-04,2020
LAR,NYG,28,2020-10-04,2020
NYG,LAR,18,2020-10-04,2020
BUF,LVR,26,2020-10-04,2020
LVR,BUF,24,2020-10-04,2020
SFO,PHI,26,2020-10-04,2020
PHI,SFO,20,2020-10-04,2020
GNB,ATL,32,2020-10-05,2020
ATL,GNB,26,2020-10-05,2020
KAN,NWE,31,2020-10-05,2020
NWE,KAN,19,2020-10-05,2020
TAM,CHI,24,2020-10-08,2020
CHI,TAM,21,2020-10-08,2020
ATL,CAR,29,2020-10-11,2020
CAR,ATL,26,2020-10-11,2020
KAN,LVR,35,2020-10-11,2020
LVR,KAN,23,2020-10-11,2020
LAR,WAS,28,2020-10-11,2020
WAS,LAR,18,2020-10-11,2020
HOU,JAX,30,2020-10-11,2020
JAX,HOU,23,2020-10-11,2020
ARI,NYJ,27,2020-10-11,2020
NYJ,ARI,19,2020-10-11,2020
PIT,PHI,27,2020-10-11,2020
PHI,PIT,20,2020-10-11,2020
BAL,CIN,32,2020-10-11,2020
CIN,BAL,19,2020-10-11,2020
SFO,MIA,29,2020-10-11,2020
MIA,SFO,20,2020-10-11,2020
DAL,NYG,32,2020-10-11,2020
NYG,DAL,21,2020-10-11,2020
CLE,IND,25,2020-10-11,2020
IND,CLE,22,2020-10-11,2020
SEA,MIN,34,2020-10-11,2020
MIN,SEA,24,2020-10-11,2020
NOR,LAC,30,2020-10-12,2020
LAC,NOR,22,2020-10-12,2020
BUF,TEN,28,2020-10-13,2020
TEN,BUF,26,2020-10-13,2020
CAR,CHI,24,2020-10-18,2020
CHI,CAR,21,2020-10-18,2020
DET,JAX,28,2020-10-18,2020
JAX,DET,26,2020-10-18,2020
MIN,ATL,30,2020-10-18,2020
ATL,MIN,27,2020-10-18,2020
TEN,HOU,29,2020-10-18,2020
HOU,TEN,26,2020-10-18,2020
WAS,NYG,22,2020-10-18,2020
NYG,WAS,22,2020-10-18,2020
PIT,CLE,27,2020-10-18,2020
CLE,PIT,23,2020-10-18,2020
BAL,PHI,28,2020-10-18,2020
PHI,BAL,21,2020-10-18,2020
IND,CIN,27,2020-10-18,2020
CIN,IND,20,2020-10-18,2020
GNB,TAM,27,2020-10-18,2020
TAM,GNB,24,2020-10-18,2020
LAR,SFO,26,2020-10-18,2020
SFO,LAR,23,2020-10-18,2020
MIA,NYJ,30,2020-10-18,2020
NYJ,MIA,20,2020-10-18,2020
NWE,DEN,28,2020-10-18,2020
DEN,NWE,18,2020-10-18,2020
DAL,ARI,28,2020-10-19,2020
ARI,DAL,24,2020-10-19,2020
KAN,BUF,31,2020-10-19,2020
BUF,KAN,27,2020-10-19,2020
PHI,NYG,26,2020-10-22,2020
NYG,PHI,20,2020-10-22,2020
CLE,CIN,28,2020-10-25,2020
CIN,CLE,24,2020-10-25,2020
DAL,WAS,24,2020-10-25,2020
WAS,DAL,24,2020-10-25,2020
ATL,DET,29,2020-10-25,2020
DET,ATL,27,2020-10-25,2020
NOR,CAR,29,2020-10-25,2020
CAR,NOR,22,2020-10-25,2020
BUF,NYJ,28,2020-10-25,2020
NYJ,BUF,19,2020-10-25,2020
GNB,HOU,30,2020-10-25,2020
HOU,GNB,26,2020-10-25,2020
SEA,ARI,30,2020-10-25,2020
ARI,SEA,26,2020-10-25,2020
NWE,SFO,26,2020-10-25,2020
SFO,NWE,20,2020-10-25,2020
KAN,DEN,29,2020-10-25,2020
DEN,KAN,20,2020-10-25,2020
TAM,LVR,28,2020-10-25,2020
LVR,TAM,26,2020-10-25,2020
TEN,PIT,29,2020-10-25,2020
PIT,TEN,22,2020-10-25,2020
LAC,JAX,28,2020-10-25,2020
JAX,LAC,21,2020-10-25,2020
LAR,CHI,27,2020-10-26,2020
CHI,LAR,20,2020-10-26,2020
CAR,ATL,27,2020-10-29,2020
ATL,CAR,24,2020-10-29,2020
IND,DET,27,2020-11-01,2020
DET,IND,24,2020-11-01,2020
GNB,MIN,31,2020-11-01,2020
MIN,GNB,25,2020-11-01,2020
BUF,NWE,24,2020-11-01,2020
NWE,BUF,22,2020-11-01,2020
TEN,CIN,29,2020-11-01,2020
CIN,TEN,25,2020-11-01,2020
LVR,CLE,28,2020-11-01,2020
CLE,LVR,28,2020-11-01,2020
KAN,NYJ,34,2020-11-01,2020
NYJ,KAN,13,2020-11-01,2020
LAR,MIA,25,2020-11-01,2020
MIA,LAR,22,2020-11-01,2020
NOR,CHI,24,2020-11-01,2020
CHI,NOR,22,2020-11-01,2020
SEA,SFO,30,2020-11-01,2020
SFO,SEA,24,2020-11-01,2020
PHI,DAL,24,2020-11-01,2020
DAL,PHI,20,2020-11-01,2020
LAC,DEN,22,2020-11-01,2020
DEN,LAC,22,2020-11-01,2020
BAL,PIT,26,2020-11-01,2020
PIT,BAL,22,2020-11-01,2020
TAM,NYG,28,2020-11-02,2020
NYG,TAM,19,2020-11-02,2020
GNB,SFO,25,2020-11-05,2020
SFO,GNB,25,2020-11-05,2020
SEA,BUF,28,2020-11-08,2020
BUF,SEA,27,2020-11-08,2020
ATL,DEN,26,2020-11-08,2020
DEN,ATL,22,2020-11-08,2020
TEN,CHI,26,2020-11-08,2020
CHI,TEN,20,2020-11-08,2020
MIN,DET,29,2020-11-08,2020
DET,MIN,27,2020-11-08,2020
BAL,IND,22,2020-11-08,2020
IND,BAL,22,2020-11-08,2020
KAN,CAR,30,2020-11-08,2020
CAR,KAN,20,2020-11-08,2020
HOU,JAX,30,2020-11-08,2020
JAX,HOU,26,2020-11-08,2020
WAS,NYG,22,2020-11-08,2020
NYG,WAS,19,2020-11-08,2020
LVR,LAC,30,2020-11-08,2020
LAC,LVR,26,2020-11-08,2020
PIT,DAL,28,2020-11-08,2020
DAL,PIT,14,2020-11-08,2020
ARI,MIA,26,2020-11-08,2020
MIA,ARI,20,2020-11-08,2020
TAM,NOR,30,2020-11-08,2020
NOR,TAM,26,2020-11-08,2020
NWE,NYJ,24,2020-11-09,2020
NYJ,NWE,17,2020-11-09,2020
IND,TEN,26,2020-11-12,2020
TEN,IND,25,2020-11-12,2020
PIT,CIN,30,2020-11-15,2020
CIN,PIT,19,2020-11-15,2020
DET,WAS,25,2020-11-15,2020
WAS,DET,22,2020-11-15,2020
CLE,HOU,29,2020-11-15,2020
HOU,CLE,27,2020-11-15,2020
GNB,JAX,35,2020-11-15,2020
JAX,GNB,21,2020-11-15,2020
PHI,NYG,22,2020-11-15,2020
NYG,PHI,19,2020-11-15,2020
TAM,CAR,27,2020-11-15,2020
CAR,TAM,20,2020-11-15,2020
LVR,DEN,28,2020-11-15,2020
DEN,LVR,24,2020-11-15,2020
ARI,BUF,26,2020-11-15,2020
BUF,ARI,23,2020-11-15,2020
LAR,SEA,27,2020-11-15,2020
SEA,LAR,26,2020-11-15,2020
NOR,SFO,30,2020-11-15,2020
SFO,NOR,24,2020-11-15,2020
BAL,NWE,24,2020-11-15,2020
NWE,BAL,16,2020-11-15,2020
MIA,LAC,24,2020-11-15,2020
LAC,MIA,22,2020-11-15,2020
MIN,CHI,24,2020-11-16,2020
CHI,MIN,21,2020-11-16,2020
SEA,ARI,32,2020-11-19,2020
ARI,SEA,27,2020-11-19,2020
CLE,PHI,24,2020-11-22,2020
PHI,CLE,22,2020-11-22,2020
NOR,ATL,29,2020-11-22,2020
ATL,NOR,22,2020-11-22,2020
DET,CAR,25,2020-11-22,2020
CAR,DET,22,2020-11-22,2020
NWE,HOU,25,2020-11-22,2020
HOU,NWE,22,2020-11-22,2020
PIT,JAX,28,2020-11-22,2020
JAX,PIT,18,2020-11-22,2020
IND,GNB,26,2020-11-22,2020
GNB,IND,24,2020-11-22,2020
CIN,WAS,23,2020-11-22,2020
WAS,CIN,23,2020-11-22,2020
BAL,TEN,27,2020-11-22,2020
TEN,BAL,20,2020-11-22,2020
MIN,DAL,28,2020-11-22,2020
DAL,MIN,19,2020-11-22,2020
KAN,LVR,32,2020-11-22,2020
LVR,KAN,26,2020-11-22,2020
MIA,DEN,24,2020-11-22,2020
DEN,MIA,23,2020-11-22,2020
LAC,NYJ,28,2020-11-22,2020
NYJ,LAC,18,2020-11-22,2020
TAM,LAR,26,2020-11-23,2020
LAR,TAM,23,2020-11-23,2020
HOU,DET,27,2020-11-26,2020
DET,HOU,25,2020-11-26,2020
DAL,WAS,24,2020-11-26,2020
WAS,DAL,22,2020-11-26,2020
LVR,ATL,28,2020-11-29,2020
ATL,LVR,28,2020-11-29,2020
ARI,NWE,24,2020-11-29,2020
NWE,ARI,24,2020-11-29,2020
NYG,CIN,24,2020-11-29,2020
CIN,NYG,21,2020-11-29,2020
CLE,JAX,26,2020-11-29,2020
JAX,CLE,20,2020-11-29,2020
MIN,CAR,27,2020-11-29,2020
CAR,MIN,23,2020-11-29,2020
IND,TEN,27,2020-11-29,2020
TEN,IND,23,2020-11-29,2020
BUF,LAC,28,2020-11-29,2020
LAC,BUF,22,2020-11-29,2020
MIA,NYJ,26,2020-11-29,2020
NYJ,MIA,20,2020-11-29,2020
NOR,DEN,26,2020-11-29,2020
DEN,NOR,20,2020-11-29,2020
LAR,SFO,27,2020-11-29,2020
SFO,LAR,20,2020-11-29,2020
KAN,TAM,28,2020-11-29,2020
TAM,KAN,26,2020-11-29,2020
GNB,CHI,26,2020-11-29,2020
CHI,GNB,18,2020-11-29,2020
SEA,PHI,28,2020-11-30,2020
PHI,SEA,25,2020-11-30,2020
PIT,BAL,26,2020-12-02,2020
BAL,PIT,16,2020-12-02,2020
CHI,DET,24,2020-12-06,2020
DET,CHI,21,2020-12-06,2020
MIA,CIN,27,2020-12-06,2020
CIN,MIA,15,2020-12-06,2020
IND,HOU,27,2020-12-06,2020
HOU,IND,24,2020-12-06,2020
MIN,JAX,31,2020-12-06,2020
JAX,MIN,20,2020-12-06,2020
LVR,NYJ,28,2020-12-06,2020
NYJ,LVR,19,2020-12-06,2020
NOR,ATL,24,2020-12-06,2020
ATL,NOR,21,2020-12-06,2020
TEN,CLE,30,2020-12-06,2020
CLE,TEN,24,2020-12-06,2020
SEA,NYG,29,2020-12-06,2020
NYG,SEA,19,2020-12-06,2020
LAR,ARI,26,2020-12-06,2020
ARI,LAR,22,2020-12-06,2020
GNB,PHI,28,2020-12-06,2020
PHI,GNB,20,2020-12-06,2020
NWE,LAC,24,2020-12-06,2020
LAC,NWE,24,2020-12-06,2020
KAN,DEN,32,2020-12-06,2020
DEN,KAN,18,2020-12-06,2020
SFO,BUF,24,2020-12-07,2020
BUF,SFO,23,2020-12-07,2020
PIT,WAS,25,2020-12-07,2020
WAS,PIT,16,2020-12-07,2020
BAL,DAL,28,2020-12-08,2020
DAL,BAL,18,2020-12-08,2020
LAR,NWE,26,2020-12-10,2020
NWE,LAR,19,2020-12-10,2020
GNB,DET,31,2020-12-13,2020
DET,GNB,23,2020-12-13,2020
TEN,JAX,30,2020-12-13,2020
JAX,TEN,23,2020-12-13,2020
DAL,CIN,24,2020-12-13,2020
CIN,DAL,20,2020-12-13,2020
ARI,NYG,23,2020-12-13,2020
NYG,ARI,22,2020-12-13,2020
HOU,CHI,24,2020-12-13,2020
CHI,HOU,22,2020-12-13,2020
CAR,DEN,24,2020-12-13,2020
DEN,CAR,22,2020-12-13,2020
TAM,MIN,29,2020-12-13,2020
MIN,TAM,23,2020-12-13,2020
KAN,MIA,28,2020-12-13,2020
MIA,KAN,21,2020-12-13,2020
IND,LVR,27,2020-12-13,2020
LVR,IND,25,2020-12-13,2020
SEA,NYJ,31,2020-12-13,2020
NYJ,SEA,17,2020-12-13,2020
LAC,ATL,26,2020-12-13,2020
ATL,LAC,23,2020-12-13,2020
NOR,PHI,26,2020-12-13,2020
PHI,NOR,20,2020-12-13,2020
SFO,WAS,24,2020-12-13,2020
WAS,SFO,20,2020-12-13,2020
PIT,BUF,24,2020-12-13,2020
