date,week,team,opp,away,season_year
2020-09-10,1,KAN,HOU,0,2020
2020-09-10,1,HOU,KAN,1,2020
2020-09-13,1,SFO,ARI,0,2020
2020-09-13,1,CIN,LAC,0,2020
2020-09-13,1,PHI,WAS,1,2020
2020-09-13,1,MIA,NWE,1,2020
2020-09-13,1,MIN,GNB,0,2020
2020-09-13,1,IND,JAX,1,2020
2020-09-13,1,CLE,BAL,1,2020
2020-09-13,1,DET,CHI,0,2020
2020-09-13,1,CAR,LVR,0,2020
2020-09-13,1,NYJ,BUF,1,2020
2020-09-13,1,ATL,SEA,0,2020
2020-09-13,1,TAM,NOR,1,2020
2020-09-13,1,DAL,LAR,1,2020
2020-09-13,1,SEA,ATL,1,2020
2020-09-13,1,BUF,NYJ,0,2020
2020-09-13,1,LVR,CAR,1,2020
2020-09-13,1,CHI,DET,1,2020
2020-09-13,1,BAL,CLE,0,2020
2020-09-13,1,JAX,IND,0,2020
2020-09-13,1,LAR,DAL,0,2020
2020-09-13,1,GNB,MIN,1,2020
2020-09-13,1,NWE,MIA,0,2020
2020-09-13,1,WAS,PHI,0,2020
2020-09-13,1,LAC,CIN,1,2020
2020-09-13,1,ARI,SFO,1,2020
2020-09-13,1,NOR,TAM,0,2020
2020-09-14,1,TEN,DEN,1,2020
2020-09-14,1,NYG,PIT,0,2020
2020-09-14,1,DEN,TEN,0,2020
2020-09-14,1,PIT,NYG,1,2020
2020-09-17,2,CIN,CLE,1,2020
2020-09-17,2,CLE,CIN,0,2020
2020-09-20,2,ATL,DAL,1,2020
2020-09-20,2,MIA,BUF,0,2020
2020-09-20,2,CAR,TAM,1,2020
2020-09-20,2,NYG,CHI,1,2020
2020-09-20,2,MIN,IND,1,2020
2020-09-20,2,DEN,PIT,1,2020
2020-09-20,2,JAX,TEN,1,2020
2020-09-20,2,NYJ,SFO,0,2020
2020-09-20,2,PHI,LAR,0,2020
2020-09-20,2,NWE,SEA,1,2020
2020-09-20,2,LAC,KAN,0,2020
2020-09-20,2,DET,GNB,1,2020
2020-09-20,2,WAS,ARI,1,2020
2020-09-20,2,PIT,DEN,0,2020
2020-09-20,2,SEA,NWE,0,2020
2020-09-20,2,KAN,LAC,1,2020
2020-09-20,2,BAL,HOU,1,2020
2020-09-20,2,ARI,WAS,0,2020
2020-09-20,2,LAR,PHI,1,2020
2020-09-20,2,SFO,NYJ,1,2020
2020-09-20,2,TEN,JAX,0,2020
2020-09-20,2,GNB,DET,0,2020
2020-09-20,2,HOU,BAL,0,2020
2020-09-20,2,IND,MIN,0,2020
2020-09-20,2,CHI,NYG,0,2020
2020-09-20,2,TAM,CAR,0,2020
2020-09-20,2,DAL,ATL,0,2020
2020-09-20,2,BUF,MIA,1,2020
2020-09-21,2,LVR,NOR,0,2020
2020-09-21,2,NOR,LVR,1,2020
2020-09-24,3,JAX,MIA,0,2020
2020-09-24,3,MIA,JAX,1,2020
2020-09-27,3,GNB,NOR,1,2020
2020-09-27,3,LAR,BUF,1,2020
2020-09-27,3,CHI,ATL,1,2020
2020-09-27,3,BUF,LAR,0,2020
2020-09-27,3,PHI,CIN,0,2020
2020-09-27,3,CLE,WAS,0,2020
2020-09-27,3,PIT,HOU,0,2020
2020-09-27,3,TEN,MIN,1,2020
2020-09-27,3,NWE,LVR,0,2020
2020-09-27,3,SFO,NYG,1,2020
2020-09-27,3,CAR,LAC,1,2020
2020-09-27,3,IND,NYJ,0,2020
2020-09-27,3,DET,ARI,1,2020
2020-09-27,3,ATL,CHI,0,2020
2020-09-27,3,SEA,DAL,0,2020
2020-09-27,3,DEN,TAM,0,2020
2020-09-27,3,DAL,SEA,1,2020
2020-09-27,3,ARI,DET,0,2020
2020-09-27,3,NYJ,IND,1,2020
2020-09-27,3,LAC,CAR,0,2020
2020-09-27,3,NYG,SFO,0,2020
2020-09-27,3,LVR,NWE,1,2020
2020-09-27,3,MIN,TEN,0,2020
2020-09-27,3,HOU,PIT,1,2020
2020-09-27,3,WAS,CLE,1,2020
2020-09-27,3,CIN,PHI,1,2020
2020-09-27,3,TAM,DEN,1,2020
2020-09-27,3,NOR,GNB,0,2020
2020-09-28,3,BAL,KAN,0,2020
2020-09-28,3,KAN,BAL,1,2020
2020-10-01,4,NYJ,DEN,0,2020
2020-10-01,4,DEN,NYJ,1,2020
