team,opp,projected_off__pts,date,season_year
TAM,DAL,30,2021-09-09,2021
DAL,TAM,23,2021-09-09,2021
BUF,PIT,29,2021-09-12,2021
PIT,BUF,22,2021-09-12,2021
CAR,NYJ,24,2021-09-12,2021
NYJ,CAR,20,2021-09-12,2021
JAX,HOU,23,2021-09-12,2021
HOU,JAX,23,2021-09-12,2021
TEN,ARI,27,2021-09-12,2021
ARI,TEN,24,2021-09-12,2021
LAC,WAS,22,2021-09-12,2021
WAS,LAC,22,2021-09-12,2021
ATL,PHI,25,2021-09-12,2021
PHI,ATL,22,2021-09-12,2021
SEA,IND,28,2021-09-12,2021
IND,SEA,25,2021-09-12,2021
MIN,CIN,26,2021-09-12,2021
CIN,MIN,23,2021-09-12,2021
SFO,DET,28,2021-09-12,2021
DET,SFO,18,2021-09-12,2021
KAN,CLE,30,2021-09-12,2021
CLE,KAN,24,2021-09-12,2021
NWE,MIA,24,2021-09-12,2021
MIA,NWE,22,2021-09-12,2021
DEN,NYG,21,2021-09-12,2021
NYG,DEN,21,2021-09-12,2021
LAR,CHI,26,2021-09-12,2021
CHI,LAR,19,2021-09-12,2021
GNB,NOR,27,2021-09-12,2021
NOR,GNB,23,2021-09-12,2021
BAL,LVR,29,2021-09-13,2021
LVR,BAL,22,2021-09-13,2021
WAS,NYG,23,2021-09-16,2021
NYG,WAS,20,2021-09-16,2021
NOR,CAR,25,2021-09-19,2021
CAR,NOR,22,2021-09-19,2021
CLE,HOU,29,2021-09-19,2021
HOU,CLE,16,2021-09-19,2021
CHI,CIN,25,2021-09-19,2021
CIN,CHI,21,2021-09-19,2021
PIT,LVR,28,2021-09-19,2021
LVR,PIT,22,2021-09-19,2021
BUF,MIA,26,2021-09-19,2021
MIA,BUF,23,2021-09-19,2021
LAR,IND,26,2021-09-19,2021
IND,LAR,23,2021-09-19,2021
SFO,PHI,26,2021-09-19,2021
PHI,SFO,21,2021-09-19,2021
DEN,JAX,24,2021-09-19,2021
JAX,DEN,21,2021-09-19,2021
NWE,NYJ,24,2021-09-19,2021
NYJ,NWE,20,2021-09-19,2021
ARI,MIN,26,2021-09-19,2021
MIN,ARI,23,2021-09-19,2021
TAM,ATL,31,2021-09-19,2021
ATL,TAM,22,2021-09-19,2021
SEA,TEN,26,2021-09-19,2021
TEN,SEA,23,2021-09-19,2021
LAC,DAL,27,2021-09-19,2021
DAL,LAC,24,2021-09-19,2021
KAN,BAL,26,2021-09-19,2021
BAL,KAN,25,2021-09-19,2021
GNB,DET,28,2021-09-20,2021
DET,GNB,21,2021-09-20,2021
CAR,HOU,24,2021-09-23,2021
HOU,CAR,20,2021-09-23,2021
ARI,JAX,28,2021-09-26,2021
JAX,ARI,22,2021-09-26,2021
TEN,IND,26,2021-09-26,2021
