date,week,team,opp,is_away,season_year
2021-09-09,1,TAM,DAL,0,2021
2021-09-09,1,DAL,TAM,1,2021
2021-09-12,1,CHI,LAR,1,2021
2021-09-12,1,NYG,DEN,0,2021
2021-09-12,1,CLE,KAN,1,2021
2021-09-12,1,WAS,LAC,0,2021
2021-09-12,1,JAX,HOU,1,2021
2021-09-12,1,DET,SFO,0,2021
2021-09-12,1,TEN,ARI,0,2021
2021-09-12,1,IND,SEA,0,2021
2021-09-12,1,MIN,CIN,1,2021
2021-09-12,1,NYJ,CAR,1,2021
2021-09-12,1,BUF,PIT,0,2021
2021-09-12,1,ATL,PHI,0,2021
2021-09-12,1,NWE,MIA,0,2021
2021-09-12,1,GNB,NOR,1,2021
2021-09-12,1,LAR,CHI,0,2021
2021-09-12,1,PHI,ATL,1,2021
2021-09-12,1,PIT,BUF,1,2021
2021-09-12,1,CAR,NYJ,0,2021
2021-09-12,1,CIN,MIN,0,2021
2021-09-12,1,SEA,IND,1,2021
2021-09-12,1,SFO,DET,1,2021
2021-09-12,1,ARI,TEN,1,2021
2021-09-12,1,LAC,WAS,1,2021
2021-09-12,1,KAN,CLE,0,2021
2021-09-12,1,DEN,NYG,1,2021
2021-09-12,1,NOR,GNB,0,2021
2021-09-12,1,MIA,NWE,1,2021
2021-09-12,1,HOU,JAX,0,2021
2021-09-13,1,LVR,BAL,0,2021
2021-09-13,1,BAL,LVR,1,2021
2021-09-16,2,NYG,WAS,1,2021
2021-09-16,2,WAS,NYG,0,2021
2021-09-19,2,JAX,DEN,0,2021
2021-09-19,2,NOR,CAR,1,2021
2021-09-19,2,CIN,CHI,1,2021
2021-09-19,2,HOU,CLE,1,2021
2021-09-19,2,IND,LAR,0,2021
2021-09-19,2,NYJ,NWE,0,2021
2021-09-19,2,PHI,SFO,0,2021
2021-09-19,2,PIT,LVR,0,2021
2021-09-19,2,ATL,TAM,1,2021
2021-09-19,2,MIN,ARI,1,2021
2021-09-19,2,LAC,DAL,0,2021
2021-09-19,2,MIA,BUF,0,2021
2021-09-19,2,KAN,BAL,1,2021
2021-09-19,2,SEA,TEN,0,2021
2021-09-19,2,DEN,JAX,1,2021
2021-09-19,2,TEN,SEA,1,2021
2021-09-19,2,DAL,LAC,1,2021
2021-09-19,2,ARI,MIN,0,2021
2021-09-19,2,TAM,ATL,0,2021
2021-09-19,2,LVR,PIT,1,2021
2021-09-19,2,SFO,PHI,1,2021
2021-09-19,2,NWE,NYJ,1,2021
2021-09-19,2,LAR,IND,1,2021
2021-09-19,2,CLE,HOU,0,2021
2021-09-19,2,CHI,CIN,0,2021
2021-09-19,2,CAR,NOR,0,2021
2021-09-19,2,BUF,MIA,1,2021
2021-09-19,2,BAL,KAN,0,2021
2021-09-20,2,DET,GNB,1,2021
2021-09-20,2,GNB,DET,0,2021
2021-09-23,3,CAR,HOU,1,2021
2021-09-23,3,HOU,CAR,0,2021
2021-09-26,3,LAR,TAM,0,2021
2021-09-26,3,MIN,SEA,0,2021
2021-09-26,3,LVR,MIA,0,2021
2021-09-26,3,DEN,NYJ,0,2021
2021-09-26,3,NOR,NWE,1,2021
2021-09-26,3,BAL,DET,1,2021
2021-09-26,3,ARI,JAX,1,2021
2021-09-26,3,TEN,IND,0,2021
2021-09-26,3,CIN,PIT,1,2021
2021-09-26,3,CLE,CHI,0,2021
2021-09-26,3,BUF,WAS,0,2021
2021-09-26,3,ATL,NYG,1,2021
2021-09-26,3,LAC,KAN,1,2021
2021-09-26,3,GNB,SFO,1,2021
2021-09-26,3,SEA,MIN,1,2021
2021-09-26,3,NYG,ATL,0,2021
2021-09-26,3,WAS,BUF,1,2021
2021-09-26,3,CHI,CLE,1,2021
2021-09-26,3,PIT,CIN,0,2021
2021-09-26,3,IND,TEN,1,2021
2021-09-26,3,JAX,ARI,0,2021
2021-09-26,3,DET,BAL,0,2021
2021-09-26,3,KAN,LAC,0,2021
2021-09-26,3,NWE,NOR,0,2021
2021-09-26,3,NYJ,DEN,1,2021
2021-09-26,3,SFO,GNB,0,2021
2021-09-26,3,TAM,LAR,1,2021
2021-09-26,3,MIA,LVR,1,2021
2021-09-27,3,PHI,DAL,1,2021
2021-09-27,3,DAL,PHI,0,2021
2021-09-30,4,JAX,CIN,1,2021
2021-09-30,4,CIN,JAX,0,2021
2021-10-03,4,PIT,GNB,1,2021
2021-10-03,4,LAR,ARI,0,2021
2021-10-03,4,NWE,TAM,0,2021
2021-10-03,4,TEN,NYJ,1,2021
2021-10-03,4,NOR,NYG,0,2021
2021-10-03,4,PHI,KAN,0,2021
2021-10-03,4,MIA,IND,0,2021
2021-10-03,4,MIN,CLE,0,2021
2021-10-03,4,DET,CHI,1,2021
2021-10-03,4,CAR,DAL,1,2021
2021-10-03,4,HOU,BUF,1,2021
2021-10-03,4,ATL,WAS,0,2021
2021-10-03,4,DEN,BAL,0,2021
2021-10-03,4,TAM,NWE,1,2021
2021-10-03,4,SFO,SEA,0,2021
2021-10-03,4,IND,MIA,1,2021
2021-10-03,4,BAL,DEN,1,2021
2021-10-03,4,WAS,ATL,1,2021
2021-10-03,4,BUF,HOU,0,2021
2021-10-03,4,SEA,SFO,1,2021
2021-10-03,4,ARI,LAR,1,2021
2021-10-03,4,NYJ,TEN,0,2021
2021-10-03,4,NYG,NOR,1,2021
2021-10-03,4,KAN,PHI,1,2021
2021-10-03,4,GNB,PIT,0,2021
2021-10-03,4,CLE,MIN,1,2021
2021-10-03,4,CHI,DET,0,2021
2021-10-03,4,DAL,CAR,0,2021
2021-10-04,4,LVR,LAC,1,2021
2021-10-04,4,LAC,LVR,0,2021
2021-10-07,5,SEA,LAR,0,2021
2021-10-07,5,LAR,SEA,1,2021
2021-10-10,5,PHI,CAR,1,2021
2021-10-10,5,ATL,NYJ,0,2021
2021-10-10,5,BUF,KAN,1,2021
2021-10-10,5,NYJ,ATL,1,2021
2021-10-10,5,NOR,WAS,1,2021
2021-10-10,5,TAM,MIA,0,2021
2021-10-10,5,TEN,JAX,1,2021
2021-10-10,5,NWE,HOU,1,2021
2021-10-10,5,MIN,DET,0,2021
2021-10-10,5,PIT,DEN,0,2021
2021-10-10,5,GNB,CIN,1,2021
2021-10-10,5,ARI,SFO,0,2021
2021-10-10,5,DAL,NYG,0,2021
2021-10-10,5,KAN,BUF,0,2021
2021-10-10,5,CHI,LVR,1,2021
2021-10-10,5,NYG,DAL,1,2021
2021-10-10,5,CLE,LAC,1,2021
2021-10-10,5,LVR,CHI,0,2021
