name,team,position,week,opp,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,receiving_tgts,receiving_rec,receiving_yds,receiving_td
Deshaun Watson,HOU,QB,7,IND,20.6,34.3,274.2,1.7,0.7,5.4,29.3,0.4,0.0,0.0,0.0,0.0
Lamar Jackson,BAL,QB,7,SEA,21.3,34.0,242.2,1.5,0.9,10.8,60.5,0.3,0.0,0.0,0.0,0.0
Patrick Mahomes,KC,QB,7,DEN,23.6,37.4,300.9,2.2,0.7,3.4,14.2,0.1,0.0,0.0,0.0,0.0
Russell Wilson,SEA,QB,7,BAL,21.0,32.5,259.1,2.1,0.5,5.5,26.7,0.2,0.0,0.0,0.0,0.0
Matt Ryan,ATL,QB,7,LAR,27.3,39.7,311.7,2.0,0.8,2.3,7.9,0.1,0.0,0.0,0.0,0.0
Kyler Murray,ARI,QB,7,NYG,24.1,36.4,267.5,1.5,0.8,7.0,35.6,0.3,0.0,0.0,0.0,0.0
Josh Allen,BUF,QB,7,MIA,20.1,31.2,241.2,1.5,0.9,6.6,33.4,0.5,0.0,0.0,0.0,0.0
Jared Goff,LAR,QB,7,ATL,26.1,38.7,308.0,2.0,0.9,1.7,3.7,0.1,0.0,0.0,0.0,0.0
Dak Prescott,DAL,QB,7,PHI,23.3,34.5,267.9,1.7,0.8,4.0,18.7,0.3,0.0,0.0,0.0,0.0
Aaron Rodgers,GB,QB,7,LV,22.7,36.1,264.1,1.8,0.4,3.1,13.4,0.1,0.0,0.0,0.0,0.0
Daniel Jones,NYG,QB,7,ARI,23.4,35.3,250.3,1.7,1.0,4.4,22.0,0.2,0.0,0.0,0.0,0.0
Carson Wentz,PHI,QB,7,DAL,23.7,36.7,264.7,1.8,0.7,3.7,13.1,0.1,0.0,0.0,0.0,0.0
Tom Brady,NE,QB,7,NYJ,23.7,36.8,273.7,1.8,0.6,1.4,1.9,0.1,0.0,0.0,0.0,0.0
Jacoby Brissett,IND,QB,7,HOU,22.0,34.5,239.4,1.6,0.6,4.8,14.8,0.2,0.0,0.0,0.0,0.0
Gardner Minshew II,JAX,QB,7,CIN,21.1,32.9,240.9,1.5,0.7,3.9,18.1,0.1,0.0,0.0,0.0,0.0
Jimmy Garoppolo,SF,QB,7,WAS,19.0,31.7,253.5,1.7,0.8,2.4,4.5,0.1,0.0,0.0,0.0,0.0
Kirk Cousins,MIN,QB,7,DET,20.7,32.4,247.9,1.5,0.6,3.0,9.0,0.1,0.0,0.0,0.0,0.0
Andy Dalton,CIN,QB,7,JAX,21.7,36.7,246.6,1.5,1.0,1.9,6.8,0.1,0.0,0.0,0.0,0.0
Philip Rivers,LAC,QB,7,TEN,23.6,35.6,269.0,1.5,0.9,0.9,1.4,0.0,0.0,0.0,0.0,0.0
Matthew Stafford,DET,QB,7,MIN,22.2,35.1,249.3,1.5,0.7,2.4,6.8,0.0,0.0,0.0,0.0,0.0
Joe Flacco,DEN,QB,7,KC,22.5,35.1,250.7,1.5,0.9,1.2,2.8,0.0,0.0,0.0,0.0,0.0
Derek Carr,LV,QB,7,GB,21.6,33.6,244.0,1.4,0.9,1.5,4.2,0.0,0.0,0.0,0.0,0.0
Mitchell Trubisky,CHI,QB,7,NO,20.3,32.7,220.0,1.2,0.9,2.7,13.6,0.1,0.0,0.0,0.0,0.0
Ryan Tannehill,TEN,QB,7,LAC,19.3,29.8,215.2,1.3,0.9,3.0,12.9,0.0,0.0,0.0,0.0,0.0
Sam Darnold,NYJ,QB,7,NE,20.7,35.1,232.6,1.2,1.1,2.8,9.2,0.0,0.0,0.0,0.0,0.0
Teddy Bridgewater,NO,QB,7,CHI,21.3,32.3,205.0,1.1,0.9,2.3,6.6,0.0,0.0,0.0,0.0,0.0
Case Keenum,WAS,QB,7,SF,17.9,31.9,192.0,1.1,1.1,1.5,4.2,0.0,0.0,0.0,0.0,0.0
Ryan Fitzpatrick,MIA,QB,7,BUF,14.0,23.4,187.2,0.8,1.3,2.0,9.0,0.0,0.0,0.0,0.0,0.0
Josh Rosen,MIA,QB,7,BUF,9.1,16.5,81.0,0.3,0.6,1.0,4.3,0.0,0.0,0.0,0.0,0.0
Chase Daniel,CHI,QB,7,NO,5.9,10.0,57.8,0.3,0.2,0.8,1.3,0.0,0.0,0.0,0.0,0.0
Marcus Mariota,TEN,QB,7,LAC,5.2,7.9,53.9,0.2,0.2,1.2,6.1,0.0,0.0,0.0,0.0,0.0
Dwayne Haskins,WAS,QB,7,SF,2.9,4.9,38.9,0.1,0.2,0.6,1.4,0.0,0.0,0.0,0.0,0.0
Matt Moore,KC,QB,7,DEN,1.5,2.7,14.7,0.1,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0
Blake Bortles,LAR,QB,7,ATL,1.9,2.6,18.6,0.1,0.1,0.6,2.6,0.0,0.0,0.0,0.0,0.0
Taysom Hill,NO,QB,7,CHI,0.9,1.4,11.6,0.0,0.1,1.8,7.4,0.0,0.0,0.0,0.0,0.0
Tyrod Taylor,LAC,QB,7,TEN,0.6,1.1,8.5,0.1,0.0,0.7,2.1,0.0,0.0,0.0,0.0,0.0
Eli Manning,NYG,QB,7,ARI,2.2,3.8,30.1,0.1,0.2,0.3,0.9,0.0,0.0,0.0,0.0,0.0
Nick Mullens,SF,QB,7,WAS,1.4,2.3,18.5,0.1,0.2,0.5,0.9,0.0,0.0,0.0,0.0,0.0
Tim Boyle,GB,QB,7,LV,0.7,1.1,8.8,0.1,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0
Brian Hoyer,IND,QB,7,HOU,0.6,1.1,8.5,0.1,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0
Robert Griffin III,BAL,QB,7,SEA,1.8,3.3,17.0,0.1,0.2,0.7,2.3,0.0,0.0,0.0,0.0,0.0
Josh McCown,PHI,QB,7,DAL,1.5,2.4,19.5,0.1,0.2,0.6,1.3,0.0,0.0,0.0,0.0,0.0
Leonard Fournette,JAX,RB,7,CIN,0.0,0.0,0.0,0.0,0.0,21.3,92.3,0.6,6.61,4.5,33.2,0.1
Dalvin Cook,MIN,RB,7,DET,0.0,0.0,0.0,0.0,0.0,17.4,85.6,0.6,6.06,4.1,35.5,0.1
Ezekiel Elliott,DAL,RB,7,PHI,0.0,0.0,0.0,0.0,0.0,18.4,79.2,0.6,4.78,3.6,29.1,0.1
Saquon Barkley,NYG,RB,7,ARI,0.0,0.0,0.0,0.0,0.0,15.1,74.0,0.5,6.25,4.2,32.2,0.2
Derrick Henry,TEN,RB,7,LAC,0.0,0.0,0.0,0.0,0.0,18.2,81.3,0.7,1.93,1.3,12.3,0.1
Chris Carson,SEA,RB,7,BAL,0.0,0.0,0.0,0.0,0.0,17.7,76.2,0.5,4.91,3.3,24.6,0.2
David Johnson,ARI,RB,7,NYG,0.0,0.0,0.0,0.0,0.0,13.0,51.8,0.4,6.24,4.8,45.4,0.3
Le'Veon Bell,NYJ,RB,7,NE,0.0,0.0,0.0,0.0,0.0,15.9,63.3,0.3,7.35,5.0,39.4,0.2
Josh Jacobs,LV,RB,7,GB,0.0,0.0,0.0,0.0,0.0,16.3,72.4,0.6,2.59,1.8,14.7,0.1
Aaron Jones,GB,RB,7,LV,0.0,0.0,0.0,0.0,0.0,12.3,55.7,0.7,4.35,3.2,25.1,0.1
Phillip Lindsay,DEN,RB,7,KC,0.0,0.0,0.0,0.0,0.0,13.6,67.9,0.5,4.22,3.2,24.4,0.1
Marlon Mack,IND,RB,7,HOU,0.0,0.0,0.0,0.0,0.0,17.0,75.5,0.6,2.17,1.5,11.3,0.0
Devonta Freeman,ATL,RB,7,LAR,0.0,0.0,0.0,0.0,0.0,14.5,58.5,0.3,4.99,3.7,29.3,0.2
Kerryon Johnson,DET,RB,7,MIN,0.0,0.0,0.0,0.0,0.0,16.1,64.2,0.4,3.35,2.5,21.0,0.1
Todd Gurley,LAR,RB,7,ATL,0.0,0.0,0.0,0.0,0.0,12.1,53.6,0.6,3.26,2.4,18.8,0.1
Tevin Coleman,SF,RB,7,WAS,0.0,0.0,0.0,0.0,0.0,14.0,63.0,0.5,2.27,1.7,15.3,0.1
Mark Ingram,BAL,RB,7,SEA,0.0,0.0,0.0,0.0,0.0,13.2,61.2,0.6,2.72,2.0,14.6,0.0
Joe Mixon,CIN,RB,7,JAX,0.0,0.0,0.0,0.0,0.0,15.2,63.5,0.4,3.12,2.2,17.8,0.1
David Montgomery,CHI,RB,7,NO,0.0,0.0,0.0,0.0,0.0,15.7,58.9,0.5,2.34,1.8,13.9,0.1
Sony Michel,NE,RB,7,NYJ,0.0,0.0,0.0,0.0,0.0,17.1,67.4,0.5,1.78,1.3,9.7,0.0
Melvin Gordon,LAC,RB,7,TEN,0.0,0.0,0.0,0.0,0.0,14.8,57.9,0.3,4.44,3.0,24.3,0.1
Frank Gore,BUF,RB,7,MIA,0.0,0.0,0.0,0.0,0.0,15.0,66.3,0.4,1.47,1.1,8.8,0.1
Matt Breida,SF,RB,7,WAS,0.0,0.0,0.0,0.0,0.0,10.9,55.3,0.3,3.33,2.4,20.3,0.1
Royce Freeman,DEN,RB,7,KC,0.0,0.0,0.0,0.0,0.0,12.0,52.5,0.3,4.78,3.3,22.6,0.1
Austin Ekeler,LAC,RB,7,TEN,0.0,0.0,0.0,0.0,0.0,7.0,29.8,0.2,6.07,4.4,39.2,0.2
Carlos Hyde,HOU,RB,7,IND,0.0,0.0,0.0,0.0,0.0,16.0,66.9,0.3,1.68,1.2,6.8,0.0
Jordan Howard,PHI,RB,7,DAL,0.0,0.0,0.0,0.0,0.0,12.5,53.1,0.4,1.64,1.2,8.1,0.0
Damien Williams,KC,RB,7,DEN,0.0,0.0,0.0,0.0,0.0,7.8,31.2,0.3,4.03,2.8,23.9,0.2
Devin Singletary,BUF,RB,7,MIA,0.0,0.0,0.0,0.0,0.0,9.8,42.9,0.3,3.06,2.1,17.4,0.1
Latavius Murray,NO,RB,7,CHI,0.0,0.0,0.0,0.0,0.0,12.9,49.6,0.3,3.32,2.5,16.1,0.0
Adrian Peterson,WAS,RB,7,SF,0.0,0.0,0.0,0.0,0.0,15.2,54.5,0.3,2.08,1.6,11.0,0.0
Jamaal Williams,GB,RB,7,LV,0.0,0.0,0.0,0.0,0.0,9.4,36.6,0.2,3.72,2.8,23.6,0.1
LeSean McCoy,KC,RB,7,DEN,0.0,0.0,0.0,0.0,0.0,10.4,43.4,0.2,2.85,2.1,16.5,0.1
Kenyan Drake,MIA,RB,7,BUF,0.0,0.0,0.0,0.0,0.0,8.9,36.8,0.1,5.18,3.5,27.7,0.1
James White,NE,RB,7,NYJ,0.0,0.0,0.0,0.0,0.0,4.2,16.4,0.1,7.39,5.1,41.4,0.2
Miles Sanders,PHI,RB,7,DAL,0.0,0.0,0.0,0.0,0.0,7.8,31.9,0.1,4.0,2.8,29.2,0.1
Duke Johnson,HOU,RB,7,IND,0.0,0.0,0.0,0.0,0.0,4.9,24.6,0.1,3.4,2.5,21.2,0.1
