name,team,si_rank
Cooper Kupp,LAR,1
Stefon Diggs,BUF,2
Justin Jefferson,MIN,3
Tyreek Hill,MIA,4
Davante Adams,LV,5
Ja'Marr Chase,CIN,6
Deebo Samuel,SF,7
A.J. Brown,PHI,8
Mike Evans,TB,9
CeeDee Lamb,DAL,10
Tee Higgins,CIN,11
Marquise Brown,ARI,12
Courtland Sutton,DEN,13
Christian Kirk,JAC,14
Mike Williams,LAC,15
Jaylen Waddle,MIA,16
Chris Olave,NO,17
Chris Godwin,TB,18
Michael Pittman Jr.,IND,19
Drake London,ATL,20
D.K. Metcalf,SEA,21
Brandin Cooks,HOU,22
Terry McLaurin,WAS,23
Diontae Johnson,PIT,24
Tyler Lockett,SEA,25
Amari Cooper,CLE,26
Jerry Jeudy,DEN,27
Curtis Samuel,WAS,28
Romeo Doubs,GB,29
Josh Reynolds,DET,30
Adam Thielen,MIN,31
Allen Lazard,GB,32
Devonta Smith,PHI,33
Gabe Davis,BUF,34
JuJu Smith-Schuster,KC,35
Rashod Bateman,BAL,36
Garrett Wilson,NYJ,37
D.J. Moore,CAR,38
Robert Woods,TEN,39
Elijah Moore,NYJ,40
Brandon Aiyuk,SF,41
Michael Gallup,DAL,42
Corey Davis,NYJ,43
Mack Hollins,LV,44
George Pickens,PIT,45
Darnell Mooney,CHI,46
Noah Brown,DAL,47
Tyler Boyd,CIN,48
Devin Duvernay,BAL,49
Josh Palmer,LAC,50
Allen Robinson,LAR,51
Richie James,NYG,52
Marquez Valdes-Scantling,KC,53
Khalil Shakir,BUF,54
Marquez Callaway,NO,55
DeVante Parker,NE,56
Jamal Agnew,JAC,57
Alec Pierce,IND,58
K.J. Osborn,MIN,59
Rondale Moore,ARI,60
