stadium_name,team,roof_type,longitude,latitude
State Farm Stadium,ARI,Retractable,-112.263,33.528
Mercedes-Benz Stadium,ATL,Retractable,-84.4,33.755556
M&T Bank Stadium,BAL,Outdoor,-76.622778,39.278056
New Era Field,BUF,Outdoor,-78.787,42.774
Bank of America Stadium,CAR,Outdoor,-80.852778,35.225833
Soldier Field,CHI,Outdoor,-87.6167,41.8623
Paul Brown Stadium,CIN,Outdoor,-84.516,39.095
FirstEnergy Stadium,CLE,Outdoor,-81.699444,41.506111
AT&T Stadium,DAL,Retractable,-97.092778,32.747778
Empower Field at Mile High,DEN,Outdoor,-105.02,39.743889
Ford Field,DET,Indoor,-83.045556,42.34
Lambeau Field,GNB,Outdoor,-88.062222,44.501389
NRG Stadium,HOU,Retractable,-95.410833,29.684722
Lucas Oil Stadium,IND,Retractable,-86.162806,39.760056
TIAA Bank Field,JAX,Outdoor,-81.6375,30.323889
Arrowhead Stadium,KAN,Outdoor,-94.483889,39.048889
SoFi Stadium,LAC,Outdoor,-118.3392,33.95345
SoFi Stadium,LAR,Outdoor,-118.3392,33.95345
Allegiant Stadium,LVR,Indoor,-115.183722,36.09075
Hard Rock Stadium,MIA,Outdoor,-80.238889,25.958056
TCF Bank Stadium,MIN,Outdoor,-93.225,44.976
Mercedes-Benz Superdome,NOR,Indoor,-90.071533,29.951065
Gillette Stadium,NWE,Outdoor,-71.264,42.091
MetLife Stadium,NYG,Outdoor,-74.074361,40.813528
MetLife Stadium,NYJ,Outdoor,-74.074361,40.813528
Oakland Coliseum,OAK,Outdoor,-122.200556,37.751667
Lincoln Financial Field,PHI,Outdoor,-75.1675,39.900833
Heinz Field,PIT,Outdoor,-80.015833,40.446667
CenturyLink Field,SEA,Outdoor,-122.3316,47.5952
Levi's Stadium,SFO,Outdoor,-121.97,37.403
The Dome at America's Center,STL,Indoor,-90.188611,38.632778
Raymond James Stadium,TAM,Outdoor,-82.503333,27.975833
Nissan Stadium,TEN,Outdoor,-86.771389,36.166389
FedExField,WAS,Outdoor,-76.864444,38.907778
